㔩	qop
善	*zhiɛ̌n
喘	chiuɛ̌n
喚	huɑ̀n
喜	*xiə̌
喝	xɑt
喞	tziək
喧	*xiuæn
喪	*sɑ̀ng
喬	ghyɛu
單	*zhiɛn dɑn
喻	iò
嗁	*dhei
嗔	chin
嗚	*qo
嗟	*tzia
嗣	ziə̀
嗤	chiə
嗷	ngɑu
嘆	tɑn tɑ̀n
嘈	dzhɑu
嘉	ga
嘔	qou qǒu
嘗	*zhiɑng
嘯	*sèu
嘲	djau
嘴	tziuɛ̌
嘶	*sei
噉	dhɑ̌m
噓	xiu xiù
器	kyì
噪	sɑ̀u
噫	qiə
噬	zhiɛ̀i
噭	gèu
噴	pən
嚬	bhin
嚱	xyɛ̀
嚴	*ngiæm
嚼	dzhiɑk
囀	djiuɛ̀n
囊	*nɑng
囑	jiok
囓	nget
囚	zhiou
四	*sì
回	*huəi
因	*qin
困	*kuə̀n
囷	kyun
固	*gò
圃	bǒ
圉	ngiǔ
國	*guək
圍	*hiuəi
園	*hiuəi
圓	*hyuɛn
圖	*dho
團	dhuɑn
土	*tǒ
在	*dzhə̌i
圭	*guei
圯	iə
地	*dhì
圻	ghiəi
坂	biæ̌n
均	guin
坊	biɑng
坎	*kǒm
坐	*dzhuɑ̀ *dzhuɑ̌
坑	kæng
坡	pɑ
坤	*kuən
坦	tɑ̌n
坳	qau
坼	*tjæk
垂	*zhiuɛ
垓	gəi
垞	*djhæk
垠	ngiən ngyin
垢	gǒu
垣	hiuæn
埃	*qəi
埋	*mæi
城	*zhiɛng
域	hiuək
執	jip
基	giə
埽	*sɑ̌u
堂	*dhɑng
堅	*gen
堆	*duəi
堞	dhep
堪	*kom
堯	*ngəu
報	*bɑ̀u
場	*djhiɑng
堵	dǒ
塊	kuɑ̀i
塋	iuɛng
塒	zhiə
塔	tɑp
塗	*dho
塘	*dhɑng
塚	*djiǒng
塞	*sək *sə̀i
塡	dhen
塢	qǒ
塤	xiuæn
填	dhen
塵	*djhin
塹	tsiɛ̀m
墀	*djhi
墇	*giæ̌ng
墉	iong
墓	mò
墜	*djhuì
增	*tzəng
墟	kiu
墨	mək
墮	dhuɑ̌
墳	*bhiən
壁	bek
壇	dhɑn
壈	lǒm
壑	*xɑk
壓	*qap qiɛp
壕	hɑu
壘	*luǐ
壚	lo
壞	huæ̀i
壟	liǒng
壤	njiɑ̌ng
士	*jrhiə̌
壯	*jriɑ̀ng
壹	qit
壺	*ho
壻	sèi
壽	zhiòu zhiǒu
夏	*hǎ
夔	ghyui
夕	*ziɛk
外	*nguɑ̀i
夙	siuk
多	*dɑ
夜	*ià
夢	*mùng
夤	in
大	*dhɑ̀i
天	*ten
太	*tɑ̀i
夫	*bio bhio
夭	qyɛ̌u
央	qiɑng
失	*shit
夷	i
夸	kua
夾	*gæp
奇	*ghyɛ gyɛ
奈	*nɑ̀i
奉	*bhiǒng
奏	tzòu
契	*kèi ket set
奔	*bən
奕	iɛk
奚	hei
奠	dhèn
奡	ngɑ̀u
奢	shia
奧	qɑ̀u
奪	*dhuɑt dhuɑt
奮	biə̀n
奰	bhyì
女	*niǔ *njiǔ
奴	*no
好	*xɑ̀u *xɑ̌u
如	*njiu
妃	*piəi
妄	miɑ̀ng
妍	ngen
妒	dò
妓	ghyɛ̌
妖	*qyɛu
妙	*miɛ̀u
妝	*jriɑng
妤	iu
妥	tuɑ̌
妨	piɑng piɑ̀ng
妬	dò
妲	dɑt
妹	*mə̀i
妻	*tsei
妾	*tsziɛp
姊	tzǐ
始	*shiə̌
姑	*go
姓	siɛ̀ng
委	*gyuɛ gyuɛ̌
姚	iɛu
姥	mǒ
姦	gan
姨	i
姬	giə
姮	*həng
姿	*tzi
威	*qiuəi
娉	piɛng
娑	sɑ
娘	*niɑng
娟	*qiuɛn
娥	*ngɑ
娱	ngio
娿	qɑ
婁	lou
婆	bhɑ
婉	qiuæ̌n
婕	tziɛp
婚	xuən
婢	bhiɛ̌
婦	*bhiǒu
婪	lom
媒	məi
媕	qom
媚	myì
媧	gua
嫁	*gà
嫋	*něu
嫌	*hem
嫖	piɛu
嫗	qiò
嫜	jiɑng
嫦	*həng
嫩	nuə̀n
嫪	lɑ̀u
嫫	mo
嬋	zhiɛn
嬌	*gyɛu
嬪	bhin
嬰	qiɛng
嬴	iɛng
嬾	lɑ̌n
孃	*niɑng
孌	liuɛ̌n
子	*tziə̌
孔	*kǔng
字	*dzhiə̀ dzhiə̀
存	*dzuən
孛	bət bə̀i
孜	tziə
孝	xàu
孟	*mæ̀ng
季	gì
孤	*go
孥	no
孩	həi
孫	*suən
孰	*zhiuk zhiuk
孱	jrhiɛn
學	*hak
孽	ngiɛt
宅	*djhæk
宇	*hiǒ
守	*shiǒu
安	*qɑn
宋	*sòng
完	*huɑn
宏	huɛng
宓	myit
宗	*tzong
官	*guɑn
宙	djhiòu
定	*dhèng
宛	qiuæn qiuæ̌n
宜	*ngyɛ
客	*kæk
宣	*siuɛn
室	*shit
宦	*huàn
宮	*giung
宰	*tzə̌i tzə̌i
害	*hɑ̀i
宴	*qěn qèn
宵	*siɛu
家	*ga
宸	zhin
容	*iong
宿	*siuk siòu
寂	*dzhek
寃	qiuæn
寄	*gyɛ̀
寅	in
密	*myit
寇	kòu
富	*biòu
寐	mì
寒	*hɑn
寓	ngiǒ
寞	*mɑk
寡	guǎ
寢	*tsǐm
寥	*leu
實	*jhit
寧	*neng neng
寫	*siǎ
寬	kuɑn
寮	leu
寰	huan
寵	*tjiǒng
寶	*bɑ̌u
寸	*tsuə̀n
寺	*ziə̀
封	biong
射	*jhià ià jhiɛk
將	*tziɑng *tziɑ̀ng
專	jiuɛn
尉	qiuə̀i
尊	*tzuən
尋	*zim
對	*duə̀i
導	dhɑ̀u
小	*siɛ̌u
少	*shiɛ̀u *shiɛ̌u
尚	*zhiɑ̀ng zhiɑ̀ng
尤	*hiou
就	*dzhiòu
尹	iǔn
尺	*chiɛk
尼	ni
尾	*miə̌i
局	ghiok
居	giu
屈	*kiuət ghiuət
屋	*quk
屍	shi
屏	*bheng
屐	ghiæk
屑	set
屓	xyì
展	*djiɛ̌n
屛	*bheng biɛ̌ng
屠	*dho
屢	liò
屣	shiɛ̌
層	*dzhəng
履	*lǐ
屬	*jiok zhiok
屯	dhuən djuin
山	*shrɛn
屹	ngiət
屼	*nguət
岌	ngyip
岐	ghiɛ
岑	jrhim
岡	gɑng
岧	dheu
岩	*ngam
岫	ziòu
岱	dhə̀i
岳	*ngak
岷	myin
岸	*ngɑ̀n
峒	dhung
峞	nguə̌i
峨	*ngɑ
峰	*piong
峴	hěn
島	*dɑ̌u
峻	suìn
峽	*hæp
崆	kung
崇	jhriung
崎	ghiəi
崑	*kuən
崒	dzhuət
崔	tsuəi
崖	*ngɛi
崙	luən
崟	ngyim
崢	*jrhɛng jrhæng
崦	qyɛm qyɛ̌m
崩	*bəng
崿	ngɑk
嵇	hei
嵋	myi
嵌	kam
嵐	lom
嵩	*siung
嵬	*nguəi
嵯	*dzhɑ
嵲	nget
嵸	tzung tzǔng
嵽	dhet
嶂	jiɑ̀ng
嶇	kio
嶔	kyim
嶢	ngeu
嶱	gɑt
嶸	*huɛng
嶺	*liɛ̌ng
嶽	*ngak
巃	lung lǔng
巇	xyɛ
巉	jrham
巍	ngiuəi
巒	luɑn
巔	*den
巖	*ngam
巘	ngiæ̌n
川	*chiuɛn
州	*jiou
巡	zuin
巢	*jrhau
工	gung
左	tzɑ̌
巧	kǎu
巨	ghiǔ
巫	*mio
差	*chriɛ
己	giə̌
已	*iə̌
巴	*ba
巵	jiɛ
巷	*hàng
巾	*gin
帀	tzop
市	*zhiə̌
布	*bò
帆	*bhiæm
希	xiəi
帖	tep
帙	djhit
帚	jiǒu
帛	bhæk
帝	*dèi
帥	shruì
帨	chiuɛ̀i shiuɛ̀i
師	*shri
席	*ziɛk
帳	*djiɑ̀ng
帶	*dɑ̀i
帷	hyui
常	*zhiɑng
帽	*mɑ̀u
幃	*hiuəi
幄	qak
幅	biuk
幔	mɑ̀n
幕	*mɑk
幘	jrɛk
幙	*mɑk
幡	piæn
幰	xiæ̌n
干	*gɑn gɑn
平	*bhiæng
年	*nen
幷	*biɛng
幸	hɛ̌ng
幹	gɑ̀n
幼	qiə̀u
幽	*qiəu
幾	*giə̌i giəi
庇	bì
床	*jrhiɑng
底	*děi
店	dèm
庚	gæng
府	*biǒ
度	*dhò dhɑk
座	*dzhuɑ̀
庭	*dheng
庳	bhiɛ̌
庶	shiù
康	kɑng
庸	iong
庾	iǒ
廁	chriə̀
廂	siɑng
廄	giòu
廈	hǎ
廉	liɛm
廓	kuɑk
廚	djhio
廝	siɛ
廟	*myɛ̀u
廢	*biæ̀i
廣	*guɑ̌ng
廪	lǐm
廬	*liu
延	*iɛn
廷	*dheng
建	*giæ̀n
廻	*huəi
弄	*lùng
弈	iɛk
弊	bhiɛ̀i
弋	iək
式	shiək
弓	*giung
弔	*dèu
引	*ǐn
弘	huəng
弟	*dhěi
弦	*hen
弧	ho
弭	miɛ̌
弱	njiɑk
張	*djiɑng
強	*ghiɑng ghiǎng
彈	*dhɑn dhɑ̀n
彊	*ghiɑng
彌	miɛ
彎	quan
彗	hiuɛ̀i ziuɛ̀i zui
彝	i
形	*heng
彤	dong
彦	bgyɛ̀n
彩	*tsə̌i
彫	*deu
影	*qiæ̌ng
役	*iuɛk
彼	*byɛ̌
征	*jiɛng
徂	dzho
徃	*hiuɑ̌ng
待	*dhə̌i
徇	zuìn
徊	*huəi
律	luit
後	*hǒu hòu
徐	*ziu
徑	*gèng
徒	*dho dho
得	*dək
徘	*bhəi
從	*dzhiong tsiong
御	*ngiù
徧	*biɛ̀n
復	*bhiuk bhiòu
循	zuin
微	*miəi
徵	*djiəng
德	dək
徹	djhiɛt tjiɛt
徼	gèu
徽	xiuəi
心	*sim
必	*bit
忌	ghiə̀
忍	*njǐn
志	*jiə̀
忘	*miɑng miɑ̀ng
忙	mɑng
忝	těm
忠	djiung
忤	ngò
快	kuài
念	*nèm
忻	xiən
忽	*xuət
忿	piə̀n piə̌n
怏	qiɑ̀ng
怒	*nǒ nò
怕	pà
怛	dɑt
思	*siə siə̀
怡	iə
急	*gyip
