㔩	qop
譟	sɑ̀u
警	giæ̌ng
譬	piɛ̀
議	ngyɛ̀
譴	kiɛ̀n
護	*hò
譽	iù
讀	*dhuk
變	byɛ̀n
讐	zhiou
讒	jrhæm
讓	*njiɑ̀ng
讖	chrìm
讙	xiuæn xuɑn
谷	*guk iok
谿	*kei
豁	xuɑt
豆	dhòu
豈	*kiə̌i
豎	zhiǒ
豐	*piung
豔	*iɛ̀m
豕	shiɛ̌
豗	xuəi
豚	dhuən
象	*ziɑ̌ng
豪	hɑu
豫	iù
豹	bàu
豺	jrhæi
貂	*deu
貌	mak màu
貔	bhi
貙	tjio
貝	*bɑ̀i
貞	djiɛng
負	*bhiou
財	dzhəi
貢	*gùng
貧	*bhyin
貪	tom
貫	guɑ̀n
責	jrɛk
貯	djiǔ
貲	tziɛ
貴	*giuə̀i
貶	byɛ̌m
買	*mɛ̌i
費	piə̀i
貽	iə
賀	hɑ̀
資	tzi
賈	*gǎ
賊	*dzhək
賒	shia
賓	*bin
賜	*siɛ̀
賞	*shiɑ̌ng
賢	*hen
賣	*mɛ̀i
賤	*dzhiɛ̀n
賦	*biò biò
質	*jit
賭	dǒ
賴	*lɑ̀i
贈	*dzhə̀ng
贊	tzɑ̀n
贏	iɛng
贖	jhiok
赤	*chiɛk
赦	shià
赧	nǎn
赫	xæk
赭	jiǎ
走	*tzǒu tzòu
赴	*pio
起	*kiə̌
趁	tjìn
超	tjiɛu
越	*hiuæt
趙	*djiɛ̀u
趣	*tsiò
趨	*tsio
足	*tziok
趿	sop
跋	bhɑt
跌	dhet
跎	*dhɑ
跕	tep
跖	jiɛk
跡	*tziɛk
跨	kuà
跪	ghyuɛ̌
路	*lò
跳	dheu
跼	ghiok
踆	tsuin
踏	*top
踐	dzhiɛ̌n
踣	bhək
踰	*iu
踴	iǒng
踼	dhɑ̀ng
蹄	*dhei
蹇	kiæ̌n
蹈	dhɑ̀u
蹉	*tsɑ
蹊	hei
蹋	dhɑp
蹏	*dhei
蹔	*dzhɑ̀m
蹙	tziuk
蹤	tziong
蹩	bhet
蹬	dhə̀ng
蹭	tsə̀ng
蹲	dzhuən
蹴	*tziuk tsiuk
蹶	giuæt
躁	tzɑ̀u
躇	djhiu
躊	djhiou
躋	tzei
躍	iɑk
躔	djhiɛn
躠	set
身	*shin
躬	giung
軀	kio
車	*giu chia
軌	gyuǐ
軍	*giuən
軒	*xiæn
軟	njiuɛ̌n
軫	jǐn
軸	djhiuk
軺	iɛu zhiɛu
軻	kɑ kɑ̌
較	gàu
載	*tzə̀i *tzə̌i dzhə̀i tzə̀i
輊	djì
輒	djiɛp
輔	*bhiǒ
輕	*kiɛng
輝	*xiuəi
輟	djiuɛt
輦	*liɛ̌n
輩	*bə̀i
輪	*luin
輵	gɑt
輸	shio
輾	djiɛ̌n
輿	*iu
轅	hiuæn
轉	*djiuɛ̌n
轍	djhiɛt
轔	lin
轟	xuəng
轡	byì
辛	*sin
辜	go
辟	bhiɛk biɛk
辦	*bhyɛ̌n
辭	*ziə
辯	*bhyɛ̌n
辰	zhin
辱	njiok
農	nong
迅	*sìn
迍	djuin
迎	*ngiæng
近	*ghiə̌n
返	*biæ̌n
迕	ngò
迢	*dheu
迤	*iɛ iɛ̌
迥	*huěng
迦	ga
迫	*bæk
迭	dhet
述	jhuit
迴	*huəi
迷	*mei
迸	bɛ̀ng
迹	*tziɛk
追	*djui
退	*tuə̀i
送	*sùng
逃	dhɑu
逅	hòu
逆	ngiæk
逍	siɛu
透	tòu
逐	*djhiuk
途	*dho
逕	*gèng
逗	dhòu
通	*tung
逝	zhiɛ̀i
速	suk
造	dzhɑ̌u tsɑ̀u
逡	tsuin
逢	*bhiong
連	*liɛn
逮	dhèi dhə̀i
進	*tzìn
逶	*qyuɛ
逸	it
逼	biək
逾	*io
遁	dhuə̀n dhuə̌n
遂	*zuì
遇	*ngiò
遊	*iou
運	*hiuə̀n
遍	*biɛ̀n
過	*guɑ guɑ̀
遐	ha
道	*dhɑ̀u *dhɑ̌u
達	*dhɑt
違	*hiuəi
遙	*iɛu
遜	suə̀n
遝	dhop
遞	*dhěi dhèi
遠	*hiuæ̌n
遣	*kiɛ̌n
適	*shiɛk
遭	*tzɑu
遮	*jia
遲	*djhi
遵	tzuin
遶	*njiɛ̌u njiɛ̀u
遷	*tsiɛn
選	*siuɛ̌n
遺	*ui uì
遼	*leu
遽	ghiù
避	*bhiɛ̀
邀	*qiɛu
邁	mài
邂	hɛ̀i
還	*huan
邅	djiɛn
邈	mak
邊	*ben
邏	lɑ̀
邐	tjiɛ̌
邑	*qyip
邕	qiong
邗	ghiong
邠	bin
那	*nɑ nɑ̌
邦	bang
邪	zia
邯	hɑn
邱	*kiou
邳	bhyi
邵	zhiɛ̀n
郊	*gau
郜	gɑ̀u
郞	*lɑng
郡	*ghiuə̀n
郢	iɛ̌ng
郤	*kiɑk
部	bhǒ
郭	*guɑk
都	*do
鄂	ngɑk
鄕	*xiɑng
鄙	byǐ
鄜	pio
鄠	hǒ
鄧	dhə̀ng
鄭	*djiɛ̀ng
鄰	*lin
鄲	dɑn
鄴	ngiæp
鄹	jriou
酊	děng
酌	*jiɑk
配	pə̀i
酒	*tziǒu
酣	*hɑm
酤	*go gò hǒ
酩	měng
酬	*zhiou zhiou
酸	*suɑn
醅	pəi
醆	jiɛ̌n
醉	*tzuì
醒	*seng sěng
醜	chiǒu
醞	qiuə̀n
醢	xə̌i
醬	tziɑ̀ng
醱	pɑt
醺	xiuən
釀	niɑ̀ng
釁	xyìn
采	*tsə̌i
釋	shiɛk
里	*liə̌
重	*djhiong *djhiǒng djhiòng
野	*iǎ
量	liɑng liɑ̀ng
金	*gyim
釜	bhiǒ
針	*jim
釣	*dèu
釧	chiuɛ̀n
釵	*chrɛi
鈍	dhuə̀n
鈕	niǒu
鈞	guin
鈴	leng
鈿	*dhen dhèn
鉅	ghiǔ
鉛	iuɛn
鉞	hiuæt
鉤	gou
銀	*ngyin
銅	*dhung
銓	tsiuɛn
銖	zhio
銘	meng
銜	*ham
銷	*siɛu
鋋	iɛn
鋒	piong
鋤	jrhiu
鋩	miɑng
鋪	*po
鋭	iuɛ̀i
錐	jui
錢	*dzhiɛn
錦	*gyǐm
錫	sek
錯	tsò tsɑk
鍊	lèn
鍔	ngɑk
鍼	*jim
鍾	*jiong
鎖	*suɑ̌
鎩	shræ̀i
鎬	hɑ̌u
鎮	djìn
鏁	*suɑ̌
鏇	ziuɛ̀n
鏗	kɛng
鏘	tsiɑng
鏟	chrɛ̌n
鏡	*giæ̀ng
鐃	nau
鐘	*jiong
鐙	*dəng
鐫	tziuɛn
鐵	*tet
鐶	*huan
鐺	chræng
鑄	jiò
鑠	shiɑk
鑪	lo
鑰	iɑk
鑱	jhram
鑽	tzuɑn
鑾	luɑn
鑿	dzhɑk
長	*djhiɑng djhiɑ̀ng djhiɑ̌ng
門	*mən
閃	shiɛ̌m
閉	*bèi
開	*kəi
閏	njuìn
閑	*hɛn
閒	*gɛn *hɛn
間	*gɛn
閟	byì
閣	*gɑk
閨	*guei
閩	myin
閫	kuə̌n
閭	liu
閲	iuɛt
閶	*chiɑng
閻	iɛm
閽	xuən
闇	qòm
闈	hiuəi
闊	*kuɑt
闌	*lɑn
闔	*hɑp
闕	*kiuæt
關	*guan
闢	bhiɛk
闥	tɑt
阜	bhiǒu
阡	tsen
阮	ngiuæ̌n
防	*bhiɑng
阻	*jriǔ
阿	qɑ
陀	dhɑ
陂	byɛ pɑ
附	*bhiò
陋	lòu
陌	*mæk
降	gàng hang
限	*hɛ̌n
陛	bhěi
院	*hyuɛ̀n
陣	*djhìn
除	*djhiu djhiu
陪	bhəi
陬	jriou
陰	*qim
陲	*zhiuɛ
陳	*djhin
陴	bhiɛ
陵	*liəng
陶	*dhɑu
陷	hæ̀m
陸	*liuk
陽	*iɑng
隄	*dei dhei
隅	*ngio
隆	*liung
隈	quəi
隋	ziuɛ
隍	huɑng
階	*gæi
隔	*gɛk
隗	nguə̌i
隘	qɛ̀i
隙	kiæk
際	*tziɛ̀i
障	*jiɑng jiɑ̀ng
隣	*lin
隨	*ziuɛ
隩	qiuk qɑ̀u
險	*xyɛ̌m
隱	qiə̌n
隳	xiuɛ
隴	*liǒng
隷	lèi
隼	suǐn
雀	*tziɑk
雁	*ngàn
雄	*hiung
雅	*ngǎ
集	*dzhip
雉	*djhǐ
雊	gòu
雌	tsiɛ
雕	*deu
雖	*sui
雙	*shrang
雛	jrhio
雜	*dzhop
雞	*gei
離	*liɛ
難	*nɑn
雨	*hiǒ
雪	*siuɛt
雲	*hiuən
零	*leng
雷	*luəi
電	*dhèn
霄	*siɛu
霆	dheng
震	jìn
霍	xuɑk
霏	piəi
霑	djiɛm
霓	*ngei
霜	*shriɑng
霞	*ha
霧	*miò
霰	sèn
露	lò
霽	*tzèi
霾	mæi
靂	lek
靄	qɑ̀i
靈	*leng
青	*tseng
靜	*dzhiɛ̌ng
非	*biəi
靡	myɛ̌
面	*miɛ̀n
靶	bà
鞋	hæi hɛi
鞍	*qɑn
鞘	shrau
鞚	kùng
鞠	giuk
鞦	tsiou
鞭	*biɛn
鞮	dei
鞿	giəi
韀	tzen
韁	giɑng
韆	tsiɛn
韋	hiuəi
韓	*hɑn
韝	gou kou
韭	giǒu
音	*qyim
韶	zhiɛu
響	*xiɑ̌ng
頂	*děng
頃	kiuɛ̌ng
順	*jhuìn
須	*sio sio
頌	ziòng
頎	ghiəi
頏	hɑng
預	iù
頑	nguan
頓	duə̀n
頗	*pɑ pɑ̌
領	liɛ̌ng
頡	het
頣	iə
頭	*dhou
頰	gep
頷	hòm hǒm
頸	giɛ̌ng
頹	*dhuəi
頻	*bhin
顆	kuɑ̌
顇	dzhuì
題	*dhei
額	ngæk
顏	*ngan
願	*ngiuæ̀n
顙	sɑ̌ng
顛	den
類	luì
顥	*hɑ̌u
顦	dzhiɛu
顧	*gò
顯	xěn
顰	bhin
風	*biung
颭	jiɛ̌m
颯	*sop
颺	*iɑng
颻	iɛu
颼	shriou
飀	liou
飄	*piɛu
飆	biɛu
飊	biɛu
飋	*shrit
飛	*biəi
飜	*piæn
食	*jhiək
飡	*tsɑn
飢	*gyi giəi
飫	qiù
飯	bhiæ̀n bhiæ̌n
飱	suən
飲	*qyìm *qyǐm
飽	bǎu
飾	shiək
餉	shiɑ̀ng
養	*iɑ̌ng
餌	njiə̀
餐	*tsɑn
餓	ngɑ̀
餘	*iu
餞	dzhiɛ̀n dzhiɛ̌n
餧	qyiɛ̀
館	*guɑ̀n
饋	ghyuì
饌	jrhiuɛ̀n jrhuǎn
饑	*giəi
饒	njiɛu
饞	jrhæm
首	*shiǒu
香	*xiɑng
馨	xeng
馬	*mǎ
馭	*ngiù
馮	bhiung
馲	lɑk tɑk
馳	*djhiɛ
馴	zuin
駐	djiò
駑	no
駒	qio
駕	*gà
駝	*dhɑ
駞	*dhɑ
駟	sì
駭	hæ̀i
駱	lɑk
駿	*tzuìn
騁	tjiɛ̌ng
騅	jui
騈	bhen
騎	*ghyɛ *ghyɛ̀
騑	biəi
騕	qěu
騧	gua guɛi
騫	kyɛn
騮	*liou
騰	*dhəng
騶	jriou
騷	sɑu
驁	ngɑu ngɑ̀u
驂	tsom
驄	*tsung
驅	*kio
驊	hua
驍	geu
驕	*gyɛu
驚	*giæng
驛	*iɛk
驟	jrhiou
驢	liu
驤	siɑng
驥	gyì
驩	xuɑn
驪	*liɛ
骨	*guət
骴	dzhiɛ dzhiɛ̀
骼	gæk
髓	siuɛ̌
體	*těi
高	*gɑu
髣	piɑ̌ng
髦	mɑu
髭	tziɛ
髮	*biæt
髴	piət
髻	gèi
鬚	*sio
鬟	huan
鬢	*bìn
鬣	liɛp
鬭	dòu
鬱	*qiuɛt
鬼	*giuə̌i
魂	*huən
魄	*pæk
魅	myì
魍	miɑ̌ng
魎	liɑ̌ng
魏	*ngiuə̀i
魑	tjiɛ
魚	*ngiu
魯	*lǒ
鮑	bhǎu
鮮	siɛn
鯁	gæ̌ng
鯉	liə̌
鯨	*ghiæng
鱗	*lin
鱣	djiɛn
鳥	*děu
鳧	bhio
鳩	giou
鳳	*bhiùng
鳴	*miæng
鳶	iuɛn
鴃	guet
鴈	*ngàn
鴉	*qa
鴐	ga
鴒	leng
鴛	*qiuæn
鴟	chi
鴣	go
鴦	*qiɑng
鴨	qap
鴻	*hung
鵁	gau
鵑	*guen
鵒	iok
鵜	dhei
鵝	ngɑ
鵠	hok
鵡	miǒ
鵬	bhəng
鵰	*deu
鵲	tsiɑk
鵷	qiuæn
鶄	tziɛng
鶉	zhuin
鶒	tjiək
鶖	tsiou
鶗	dhei
鶚	ngɑk
鶩	miò muk
鶬	tsɑng
鶯	*qɛng
鶴	*hɑk
鶺	tzek
鶻	huət
鷀	dzhiə tziə
鷄	*gei
鷇	kòu xou
鷓	jià
鷗	*qou
鷙	jì
鷲	dzhiòu
鷹	*qiəng
鷺	lò
鸂	kei
鸇	jiɛn
鸊	bhek
鸎	*qɛng
鸕	lo
鸚	*qɛng
鸜	ghio
鸝	liɛ
鸞	*luɑn
鹽	iɛm iɛ̀m
鹿	*luk
麄	tso
麋	myi
麒	ghiə
麗	*lèi
麛	mei
麝	jhià
麟	*lin
麤	tso
麥	*mɛk
麴	kiuk
麻	*ma
麽	mɑ̌
麾	*xyuɛ
黄	*huɑng
黍	shiǔ
黎	lei
黏	niɛm
黐	liɛ tjiɛ
黑	*xək
黔	ghyɛm
黕	tǒm
默	*mək
黛	*dhə̀i
黜	tjuit
點	*děm
黤	qǒm
黨	dɑ̌ng
黯	*qæ̌m
黷	dhuk
黾	miɛ̌n mǐn
黿	ngiuæn
鼇	ngɑu
鼈	biɛt
鼉	dhɑ
鼎	*děng
鼔	*gǒ
鼙	*bhei
鼠	*shiǔ
鼯	ngo
鼻	bhì
齊	*dzhei
齋	*jræi jræi
齒	*chiə̌
齡	leng
齧	nget
龍	*liong
龎	mang
龐	bhang
龜	giou gyui
廊	lɑng
虜	*lǒ
益	*qiɛk
𠀉	kiou
𠀍	shiɛì
𠛬	heng
𡸣	ngei
𡾋	luə̌i
𣽊	suìn
𤝞	tjuit
𤢪	*liɛp
𧣴	jrɛ̌n
