㙊	10448.050:cháng,zhàng
㙍	10459.070:duō
㙎	10461.110:wēi
㙐	10464.010:duǒ
㙓	10459.110:kuí
㙔	10477.040:wěi,hán
㙗	10463.060:wēi
㙘	10461.070:yāo
㙙	10474.060:lǒng
㙚	10474.030:xīng
㙛	10471.010:bǔ
㙝	10477.050:xié
㙞	10472.120:niè
㙟	10476.030:lǎng
㙠	10479.080:yī,yì
㙡	10481.040:zōng
㙢	10478.030:mán
㙣	10484.010:zhàng
㙤	10479.110:xià
㙥	10481.130:gùn
㙩	10486.140:liáo
㙪	10485.100:yì
㙫	10488.070:jí
㙮	10488.050:dā,da
㙰	10492.070:xiè
㙳	10491.030:kǎn,hǎn
㙴	10492.060:chàn
㙷	10496.060:zhí,zhé
㙹	10495.040:méng
㙺	10495.120:kuí,guì
㚀	10501.050:xī
㚁	10502.230:qiào
㚂	10503.020:nàng
㚃	10468.030:yūn
㚅	20869.050:lóng
㚇	20869.070:zōng
㚊	20864.160:kāi
㚋	20866.070:diāo
㚍	20867.070:kuǐ,kuì
㚒	10530.010:shǎn
㚓	10529.070:lǎi
㚔	10536.030:niè,xìng
㚕	10536.050:fú
㚖	10535.060:gǎo,zé
㚗	10534.020:qié
㚘	10532.010:bàn,hè,fú
㚙	10536.080:jiā
㚚	10539.090:kōng,kuāng
㚛	10539.080:xì
㚜	10543.020:yù,xù
㚝	10543.120:zhuī
㚞	10543.010:shěn
㚠	10547.060:xiāo
㚡	10549.120:jǐ
㚢	21024.020:nú,wǔ
㚤	21025.080:yì
㚥	21025.020:yú
㚧	21027.080:yǎn
㚨	21029.010:shěn
㚩	21031.010:rǎn
㚫	21027.050:sà
㚬	21033.010:jūn
㚭	21030.030:yóu
㚰	21035.080:pēi,bǐ
㚱	21039.020:qiū
㚲	21036.040:chān,diǎn,diàn
㚴	21035.090:bù
㚵	21040.030:dōng
㚶	21037.080:sì,yí
㚹	21040.020:mǎo,liǔ
㚻	21037.020:jī
㚽	21034.080:qiǎo
㚾	21037.060:xiōng
㚿	21040.060:páo
㛁	21036.010:pēng
㛂	21045.170:nuǒ
㛃	21042.020:jié
㛄	21047.070:yī
㛅	21042.120:èr
㛆	21048.090:duò,duǒ
㛍	21050.120:qiè,xiǎn,xiá
㛎	21052.050:lǚ
㛏	21050.010:qiú
㛒	21050.060:dòu
㛓	21053.030:xī
㛔	21053.100:fēng,péng
㛕	21052.040:yì,è
㛖	21055.010:suō
㛗	21053.050:qiē,zuō,suō
㛘	21050.020:pò
㛙	21053.120:xīn,qiè
㛚	21054.130:tǒng,yǒng
㛜	21052.130:yóu
㛝	21051.060:bèi
㛞	21049.070:lòng
㛥	21059.030:tà
㛦	21056.070:lǎn
㛧	21059.010:mǎn
㛨	21061.060:qiǎng
㛩	21061.050:zhóu
㛪	21057.030:yàn,yān
㛫	21058.020:xī
㛬	21055.050:lù
㛭	21056.020:xī
