侗	0261.090:dòng 1154.050:tóng 1155.020:tǒng
侘	0115.020:chà
供	0382.040:gōng 0389.010:gòng
侜	1504.080:zhōu
依	1350.060:yī
侠	1238.070:xiá
侣	0742.020:lǚ
侥	0569.010:jiǎo 1340.100:yáo
侦	1467.060:zhēn
侧	0109.050:cè 1445.050:zè 1449.090:zhāi
侨	0921.070:qiáo
侩	0657.020:kuài
侪	0116.040:chái
侬	0840.040:nóng
侮	1223.050:wǔ
侯	0466.160:hóu 0467.060:hòu
侴	0153.111:chǒu
侵	0926.040:qīn
侷	0612.040:jú
侹	1147.130:tǐng
侻	1168.070:tuì 1170.120:tuō
便	0068.030:biàn 0873.020:pián
係	1235.161:xì
促	0181.100:cù
俄	0282.130:é
俅	0941.030:qiú
俊	0624.130:jùn
俍	0707.040:liáng
俎	1545.030:zǔ
俏	0922.100:qiào
俐	0698.040:lì
俑	1392.100:yǒng
俗	1094.120:sú
俘	0337.050:fú
俚	0695.030:lǐ
俛	0341.110:fǔ 0786.020:miǎn
俜	0878.040:pīng
保	0038.010:bǎo
俞	1070.081:shù 1408.040:yú
俟	0898.010:qí 1090.110:sì
俠	1238.071:xiá
信	1284.101,1284.110:xìn
俣	1413.040:yǔ
俤	0235.030:dì
俦	0152.090:chóu
俨	1331.020:yǎn
俩	0700.120:liǎ 0709.040:liǎng
俪	0697.040:lì
俭	0553.100:jiǎn
修	1297.030:xiū
俯	0340.020:fǔ
俱	0609.160:jū 0615.030:jù
俳	0850.010:pái
俵	0073.020:biào
俶	0161.100:chù 1131.020:tì
俸	0332.020:fèng
俺	0008.130:ǎn
俻	0047.032:bèi
俾	0056.010:bǐ
倀	0120.111:chāng
倂	0079.011:bìng
倅	0183.110:cuì
倆	0700.121:liǎ 0709.041:liǎng
倈	0671.062:lái
倉	0104.111:cāng
個	0373.091:gě 0373.121:gè
倌	0407.010:guān
倍	0046.040:bèi
倏	1064.010:shū
倐	1064.011:shū
倒	0218.050:dǎo 0221.050:dào
倓	1114.040:tán
倔	0620.110:jué 0622.020:juè
倖	1292.041:xìng
倘	0121.020:cháng 1120.020:tǎng
候	0467.080:hòu
倚	1364.020:yǐ
倜	1131.030:tì
倞	0603.050:jìng 0709.100:liàng
借	0584.010:jiè
倡	0125.010:chàng
倢	0580.050:jié
倣	0309.051:fǎng
倥	0648.040:kōng 0648.060:kǒng
倦	0617.070:juàn
倨	0616.020:jù
倩	0915.080:qiàn
倪	0826.100:ní
倫	0747.031:lún
倬	1527.010:zhuō
倭	1209.030:wō
倮	0750.150:luǒ
倳	1534.031:zì
倴	0052.040:bèn
倷	0814.020:nǎi
倸	0100.031:cǎi
债	1450.080:zhài
倻	1345.040:yē
值	1485.020:zhí
倾	0932.040:qīng
偁	0135.030:chēng
偃	1328.090:yǎn
假	0543.070:jiǎ 0545.020:jià
偈	0534.090:jì 0580.110:jié
偉	1197.051:wěi
偊	1413.100:yǔ
偌	0978.060:ruò
偎	1191.050:wēi
偏	0871.050:piān
偓	1210.070:wò
偕	1274.110:xié
做	1554.030:zuò
停	1146.070:tíng
偢	0153.080:chǒu 0923.040:qiào
健	0558.050:jiàn
偪	0054.021:bī
偬	1541.020:zǒng
偰	1277.011:xiè
偲	0098.060:cāi 1085.030:sī
偶	0846.020:ǒu
偷	1156.020:tōu
偺	1435.072:zá 1439.042:zán 1440.072:zan
偻	0734.050:lóu 0741.040:lǚ
偽	1196.071:wěi
偾	0324.010:fèn
偿	0120.130:cháng
傀	0418.040:guī 0663.080:kuǐ
傅	0342.030:fù
傈	0697.110:lì
傉	0841.070:nù
傍	0035.030:bàng
傎	0240.010:diān
傑	0580.121:jié
傒	1230.020:xī
傕	0619.050:jué
傖	0105.031:cāng 0134.051:chen
傘	0986.031:sǎn
備	0047.031:bèi
傚	1271.061:xiào
傜	1342.011:yáo
傢	0539.020:jiā
傣	0204.030:dǎi
傤	1437.060:zài
傥	1120.050:tǎng
傧	0075.030:bīn
储	0160.050:chǔ
傩	0843.060:nuó
催	0182.090:cuī
傭	1391.121:yōng
傯	1541.021:zǒng
傲	0012.050:ào
傳	0163.031:chuán 1520.031:zhuàn
傴	1413.051:yǔ
傷	1001.031:shāng
傺	0146.060:chì
傻	0993.060:shǎ
僂	0734.051:lóu 0741.041:lǚ
僄	0875.100:piào
僅	0589.021:jǐn 0592.071:jìn
僇	0739.070:lù
僉	0908.021:qiān
僊	1243.071:xiān
働	0260.010:dòng
像	1261.011,1262.010:xiàng
僑	0921.071:qiáo
僕	0890.021:pú
僖	1226.090:xī
僚	0711.010:liáo
僝	0118.090:chán
僞	1196.072:wěi
僡	0504.140:huì
僢	0166.010:chuǎn
僥	0569.011:jiǎo 1340.101:yáo
僦	0607.010:jiù
僧	0990.030:sēng
僬	0567.040:jiāo
僭	0555.060:jiàn
僮	1150.021:tóng 1523.020:zhuàng
僰	0084.010:bó
僱	0400.061:gù
僳	1097.070:sù
僵	0560.020:jiāng
僶	0792.091:mǐn
價	0545.011:jià 0584.051:jie
僻	0870.190:pì
僽	1506.140:zhòu
儀	1362.011:yí
儁	0624.133:jùn
儂	0840.041:nóng
億	1371.171:yì
儅	0216.042:dàng
