㐀	一卝
𤣶	山玉
𤣷	女王
𤣸	丈王
𤣹	⺕丿王尹
𤣺	爪王
𤣻	刀又王𠬛
𤣼	入冂玉內
𤣽	二冂王冃
𤣾	厶王𠂇厷
𤣿	一廾王开
𤤀	丿乚凵王屯𡳾
𤤁	方王
𤤂	乛亅王龴予
𤤃	王
𤤄	殳王
𤤅	丿丿勹王勿
𤤆	斤王
𤤇	一大王天
𤤈	一幺王𢆰
𤤉	丿小王少
𤤊	刀刀王
𤤋	一大玉天
𤤌	冖几王冗
𤤍	旡王
𤤎	父玉
𤤏	又王叏
𤤐	丶斤王斥
𤤑	卩工王卭
𤤒	丶又王𠂇友犮
𤤓	二屮王𡴀
𤤔	王立
𤤕	亻寸王付
𤤖	弓王弗
𤤗	匕尸王尼
𤤘	匕王北
𤤙	世玉
𤤚	冖巾王
𤤛	丶王王主
𤤜	乙王耂
𤤝	一人冂王丙内
𤤞	一丶尢王尤
𤤟	王石
𤤠	央王
𤤡	一丷冂王䒑
𤤢	冂女王
𤤣	丿又王𠂇友叐
𤤤	王禾
𤤥	丿二人王夫失
𤤦	王田
𤤧	王由
𤤨	囗王囙
𤤩	也王𠂉㐌
𤤪	王用
𤤫	卜夕王外
𤤬	力幺王幼
𤤭	史王
𤤮	夂王冬
𤤯	永王
𤤰	巾王𠂇布
𤤱	丿冂又王𠬦
𤤲	几工王
𤤳	人王以
𤤴	玉玉
𤤵	一丨二王𠂆三丰
𤤶	⺄十工玉卂巩
𤤷	㠯丿王𠂤
𤤸	几木王朵
𤤹	朿王
𤤺	曳王
𤤻	刀王王玨
𤤼	山巛王
𤤽	人王𠇍
𤤾	一一亅氵王丁亍
𤤿	一王白百
𤥀	夕夕王多
𤥁	口夕王名
𤥂	亠王亦
𤥃	女宀王安
𤥄	王米
𤥅	州王
𤥆	一冉王再
𤥇	王至
𤥈	尸巾王𡰯
𤥉	力王艹
𤥊	丶刀忄王刃
𤥋	卩王印
𤥌	夕王阝
𤥍	久彡王
𤥎	又火王𤆌
𤥏	口女玉如
𤥐	口士王吉
𤥑	亠女王𠃊亡妄
𤥒	王西
𤥓	一口玉𠆢亼合
𤥔	⺄一丿夕玉夙𠘨
𤥕	⺈厂巳王厃
𤥖	止王𦈢
𤥗	丣王
𤥘	丿乀勹又王𠃊乂
𤥙	一又火王𤆌
𤥚	干日王旱
𤥛	匕王目𥃩
𤥜	冂又巳王囘𠬸
𤥝	子王耂孝
𤥞	彳殳王役
𤥟	丶曳王曵
𤥠	厶宀王𠂇厷宏
𤥡	一厶廾王弃𠫓
𤥢	口王告
𤥣	儿十口王克古
𤥤	宀木王宋
𤥥	丶亠又王亣
𤥦	丶土广王圡
𤥧	工王耂
𤥨	王豕
𤥩	⺊王疋
𤥪	井囗王
𤥫	王谷
𤥬	夂彡王
𤥭	王車
𤥮	丿口小王少
𤥯	口木王呆
𤥰	儿王白皃
𤥱	丿丿乀冂又王乂
𤥲	丶玉求
𤥳	囗木王困
𤥴	士心王志
𤥵	人人大王从夾
𤥶	王阝𠃌那
𤥷	土攴王
𤥸	攴王阝
𤥹	丿玉禾𠄎乃秀
𤥺	冂大王𠂊奂
𤥻	丿廴止王延
𤥼	八厶心王公忩
𤥽	人方王㫃於
𤥾	户木王㦿戶
𤥿	亠亻王夜
𤦀	小弓玉尔弥
𤦁	又玉臣臤
𤦂	一口戈玉或
𤦃	人人木玉从來
𤦄	巛王
𤦅	王非
𤦆	刀王臼
𤦇	一丷冂山王䒑岡
𤦈	八刀王艹分芬
𤦉	日日王昍
𤦊	日水王沓
𤦋	⺕王禾秉
𤦌	且宀王宜
𤦍	⺄一丿亻巾王佩𠘨
𤦎	一一丨丨冂王𠆢亼侖卄𠕁
𤦏	丿丿勹心王勿忽
𤦐	厂土土王厓圭
𤦑	㐅丿又囗王囟龱
𤦒	一口戈王或
𤦓	宀王
𤦔	㔾丷二人王卷夫龹
𤦕	子王皿孟
𤦖	毛王王玨
𤦗	水王王玨
𤦘	一一丨丨日王卄昔龷
𤦙	丿乚亻王艹化花𠤎
𤦚	八王具
𤦛	日月王
𤦜	人王舌舍
𤦝	巾王白帛
𤦞	王阜
𤦟	又玉耳取
𤦠	人王王介玨
𤦡	𤦡
𤦢	八王其
𤦣	人王虍
𤦤	儿王臼兒
𤦥	王
𤦦	八刀王王分玨
𤦧	丿王艹之芝
𤦨	井玉
𤦩	二王亞
𤦪	東王
𤦫	八土夊王圥夌
𤦬	一心王𠆢亼今念
𤦭	王青
𤦮	厶口氵王台治
𤦯	彡王聿𦘔
𤦰	夂王糸
𤦱	八厶囗王龴公
𤦲	工木王巨
𤦳	勹王車𠣞
𤦴	人人日王𠃊从
𤦵	匸女日王匽妟
𤦶	一夂王生㚅𤯔
𤦷	氵王行衍
𤦸	亻口木王保呆
𤦹	⺊王貝貞
𤦺	一丷亅亠口王丁可竒
𤦻	亠儿冖口王亮
𤦼	丶丶又玉目㕚叉𥄗
𤦽	人子方王㫃斿
𤦾	二女欠王姿次
𤦿	二口欠王咨次
𤧀	木王甘某
𤧁	尸王米屎
𤧂	一王王龴𠆢亼令玨
𤧃	丨刀大彡王㓞丯契
𤧄	女王覀要
𤧅	一丷尸廾王屏并开
𤧆	本王王玨
𤧇	木王目相
𤧈	一一丨丨八巳王共卄巷龷
𤧉	厶小王龶
𤧊	土土大王圭奎
𤧋	女王而耍
𤧌	㔾夕王艹夗苑
𤧍	一王艹龴𠆢亼令苓
𤧎	彡王
𤧏	一止爫王正
𤧐	火王禾秋
𤧑	王風
𤧒	八刀王皿分盆
𤧓	⺈力王田男
𤧔	⺈力王免勉
𤧕	土王西垔
𤧖	一王田𠄌畏
𤧗	冂冂口王𠃍冎咼
𤧘	王香
𤧙	⺕人王臾𦥑
𤧚	勹心王匆怱
𤧛	丷亠冖巾王帝
𤧜	巛王
𤧝	一亻王矢侯
𤧞	一丷土大王䒑美𦍌
𤧟	一亅亠冖口王丁亭
𤧠	土玉虫
𤧡	土夕王阝
𤧢	⺊一夕王阝上
𤧣	廴王聿建
𤧤	尸玉虫
𤧥	玉王白珀
𤧦	火玉禾秋
𤧧	殳玉
𤧨	王阝
𤧩	丶丶又玉目㕚叉𥄗
𤧪	丷大王穴𡗜𥥍
𤧫	㠯丿王辶追𠂤
𤧬	丶丶又玉耳㕚叉
𤧭	丷亠冖方王旁
𤧮	刂木歹王列
𤧯	丿人八冂夂王
𤧰	人比王王玨珡
𤧱	冂口夂王龴各
𤧲	人巴王王玨珡
𤧳	王老艹荖
𤧴	一一丨丨八王共卄恭龷
𤧵	丶寸王尃甫
𤧶	一夊王自夏𦣻
𤧷	一一丨丨尸王𠄌卄展龷
𤧸	山王豆豈
𤧹	一丷幺幺王䒑兹𢆶
𤧺	二冂宀巳王囘
𤧻	丿土广廴王庭廷𡈼
𤧼	王高
𤧽	一冂王豕冡𠔼
𤧾	方王色
𤧿	文王而
𤨀	一亅大王田丁町
𤨁	一一日王业亚晋
𤨂	月王辶𠂇有迶
𤨃	口王？
𤨄	王糸龶素
𤨅	士寸日王寺時
𤨆	儿日王光晃
𤨇	手王虍
𤨈	丨丨冂口山王𦉫
𤨉	一儿山攵王兀𡵉𣁋
𤨊	大幺爫王奚
𤨋	一王𠆢𥫗亼今笒
𤨌	丿人囗心王
𤨍	冖力力王王玨
𤨎	宀王豕家
𤨏	巛王貝𧴲
𤨐	爫玉臼舀
𤨑	一口王艹𠆢亼合荅
𤨒	囗大心王因恩
𤨓	人木王艹茶
𤨔	一王罒𠂈𠄌𦊷
𤨕	力王革勒
𤨖	户王邑扈
𤨗	⺊囗木玉卣囙
𤨘	文王辛玟
𤨙	力玉革勒
𤨚	丿心王虫必
𤨛	⺊一卝王耂上
𤨜	人人八日王𠃊从
𤨝	丿人心王王必玨珡
𤨞	王鹿
𤨟	⺊一丿小戈王上尗戊戚
𤨠	⺌冂口土王冋堂尚
𤨡	丶月王朗
𤨢	二人口廿王夫
𤨣	丶攵王救求
𤨤	彡王𠆢𥫗㐱
𤨥	一亅口大宀王丁可奇寄
𤨦	一亅口大犭王丁可奇猗
𤨧	王示覀票
𤨨	攵母王𠂉敏每
𤨩	一丑丷丿土王䒑羞𦍌
𤨪	又木歺王𣦼
𤨫	广心王
𤨬	丷亠冂十口王古啇
𤨭	广王庸
𤨮	冖巾王帶
𤨯	一亅口口大王丁可
𤨰	㔾冖夕廿王夗
𤨱	土日比王昆
𤨲	宀山王示宗崇
𤨳	丶王艹甫莆
𤨴	王田糸累
𤨵	厶厶厶彡王𠆢㐱厽參
𤨶	一一丨丨八氺王共卄龷
𤨷	口木王艹呆
𤨸	冂廿王𠕒
𤨹	于王雨𩁹
𤨺	儿冖王釆
𤨻	冖口口士王吅
𤨼	十玉音章
𤨽	彡木爫玉彩采
𤨾	山日比王崑昆
𤨿	寸爿王將
𤩀	⺼一一丨丨攵王卄散龷
𤩁	勹王虍匆
𤩂	冖力火火王勞炏𤇾
𤩃	乚人冂大日王奄电
𤩄	一一丨丨八巳巳王共卄巽龷
𤩅	⺊一冂王谷䜭𠔼𣦵
𤩆	⺈丶又王罒𠂇友犮
𤩇	口工工己王
𤩈	口工工弓王𠷎𢏚
𤩉	勹口王臣𠃌句
𤩊	一儿土土土王兀垚堯
𤩋	⺊一冂王谷上
𤩌	八匸氵王甘匹湛甚
𤩍	一二人王王𠆢亼今夫玨琴
𤩎	日王門間
𤩏	口王王禾呈程
𤩐	八斤王其斯
𤩑	几山王豆凱豈
𤩒	八木王其
𤩓	一一丷日王䒑业並普
𤩔	王立里童
𤩕	一一丷丷口土王䒑䒑善𦍌
𤩖	亜冖士王
𤩗	王米覀粟
𤩘	東王王玨
𤩙	心王王王玨
𤩚	凵殳王
𤩛	二冂又王耳冃取最
𤩜	日日日王晶
𤩝	丿冂口口大王冋喬夭
𤩞	⺈人八囗夊王囚
𤩟	王王門玨
𤩠	十口王豆喜壴
𤩡	⺊一冂王谷𠔼𣦵
𤩢	十大王白夲皋
𤩣	人人王目仌睂
𤩤	⺊囗欠玉𠃊卣囙
𤩥	冖爫王舛舜
𤩦	丨刀彡王糸㓞丯絜
𤩧	口口王吅單
𤩨	人厶厶厶王厽叅𠇍
𤩩	㇉一一口王虍丂号
𤩪	⺈王𧰨象
𤩫	山王鬼嵬
𤩬	丶乡王阝郎鄉
𤩭	㇉一儿口王虍丂号虎號
𤩮	一厶殳王𠫔
𤩯	一厶殳玉𠫔
𤩰	⺊人人囗木王㮚仌𠧪
𤩱	一一丨丨八尸殳玉共卄殿龷𡱒
𤩲	人勹曰王艹𠃊亾匃曷葛
𤩳	十廾王貝卉賁
𤩴	一一丨丨八尸殳王共卄殿龷𡱒
𤩵	大王目目䀠𥇛
𤩶	一一丷未王䒑业業
𤩷	一人八宀王目
𤩸	一大王癶艹天癸葵
𤩹	口尸王辛辟𡰪
𤩺	一丷土我玉䒑義𦍌
𤩻	年广王辶
𤩼	⺼工王辶𠂇左遀
𤩽	丷冂十干犬王南献𢆉
𤩾	二王田亞
𤩿	勹心王艹匆怱葱
𤪀	儿凵夂王𡕰
𤪁	亠口小王罒京
𤪂	一刂心月王𠆢亼俞刖愈
𤪃	丷大日火王昚𡗜𤊽
𤪄	乚大日王罒奄电罨
𤪅	王音
𤪆	⺕一丨冖厶牛王牟肀𦘒
𤪇	⺊人人囗木玉㮚仌𠧪
𤪈	王缶镸
𤪉	丶夂永王王主
𤪊	一王金龴𠆢亼令鈴
𤪋	一人玉罒臣臥
𤪌	八王糸其綦
𤪍	㐄巛王禸𫝀舝
𤪎	⺊人人囗欠玉𠃊仌𠧪𠧴𣣸
𤪏	火火王舛㷠炎
𤪐	⺕一一八玉与與𦥑
𤪑	一冂王艹豕冡蒙𠔼
𤪒	丿囗木王
𤪓	亠人八宀王目
𤪔	㠯宀王𥫗官管
𤪕	一卌王舛𠂉舞
𤪖	一山攵王糸
𤪗	亠冖口王豕豪
𤪘	力十口王豆加嘉壴
𤪙	一王爾
𤪚	十戈王隹截𢦏
𤪛	亠人人十口口王从卒吅
𤪜	宀王艹谷容蓉
𤪝	一厶母王𠂉㐬每毓𠫓
𤪞	冖夊爫王目
𤪟	一一丷二人亻王䒑业僕夫菐
𤪠	熏王
𤪡	⺕⺕丿丿口口玉君君尹尹
𤪢	口殳王車毄軎
𤪣	土廿王𡏳
𤪤	冖木火火王榮炏𤇾
𤪥	一亅宀心王皿丁寍寧
𤪦	匕王疋矢龴疑𠤕
𤪧	⺄一丿王鳥鳳𠘨
𤪨	又文止王白
𤪩	人人人人亻工王𠂇从从左𠂹𠈌𢀩
𤪪	彑王𥫗𧰨彖篆
𤪫	幺幺戈王目𢆶
𤪬	王
𤪭	⺕冖玉缶𦥑
𤪮	八土广王里廛
𤪯	土王黑墨
𤪰	欠玉鹵
𤪱	丨亻彡攵王𥫗修攸
𤪲	厂王禺艹厲萬
𤪳	⺕一一丨丨二二心王三三丰丰彗慧
𤪴	丿人心王王王必玨
𤪵	匕欠王王白
𤪶	大日王艹慕旲莫
𤪷	王齒
𤪸	⺌冂口王貝冋尚賞
𤪹	口土王罒𧘇瞏袁𠮷
𤪺	宀王田釆審番
𤪻	⺊乚人八冖王目七
𤪼	王艹車辶蓮連
𤪽	人八王目虍
𤪾	厂玉王禾禾厤秝
𤪿	王衣鬼褢
𤫀	⺊一人八冂又玉目叡睿𠔼𣦵
𤫁	冖火火王虫炏螢𤇾
𤫂	⺕一一八冂口王同興𠔼𦥑
𤫃	心王艹惠蕙
𤫄	大王田行𠂊衡𩵋
𤫅	王臼鬼
𤫆	一人玉爾璽
𤫇	匕口廿灬王北燕
𤫈	丿卩心王卯卿
𤫉	又火火王言燮
𤫊	口口口王雨霝
𤫋	⺄小王王貝尔
𤫌	⺕一八王車輿𦥑
𤫍	⺌一人大王王㻎玨
𤫎	丿冖口口火火王呂炏營𤇾
𤫏	一犭玉爾獮
𤫐	一口王罒辶𧘇睘還𠮛
𤫑	又王雨叚霞
𤫒	一丶止正
𤫓	一一二人王白白夫百百皕𠁗
𤫔	巛玉邑隹邕雝
𤫕	夊巳止王頁夒
𤫖	宀王王王貝玨
𤫗	八刀王虍隹分雐
𤫘	几匕夊止王
𤫙	火火火王言
𤫚	丿乀亠凵王禸隹㐫乂凶离離
𤫛	王罒衣非罪
𤫜	玉糸糹言䜌絲
𤫝	勹十口廿日止王
𤫞	宀小王王貝尔
𤫟	一丶丶冂冂王鹿丽麗
𤫠	一丨厂口口攵王耳丅吅嚴敢𠪚
𤫡	王缶貝貝罌賏
𤫢	口口夂止王雨各路露𧾷
𤫣	王瓦虍鬲甗鬳
𤫤	王田田田糸畾纍
𤫥	王田田田缶畾罍
𤫦	月王雨革䨣霸
𤫧	卝大王罒韭
𤫨	儿儿王鬲先先兟
𤫩	人人口口口工王雨从巫霝靈
𤫪	丿乚瓜七乇
𤫫	八刀瓜分
𤫬	一丨二瓜三丰
𤫭	丿乚凵瓜屯𡳾
𤫮	月瓜
𤫯	冘瓜
𤫰	弓瓜弗
𤫱	勹口瓜句
𤫲	一瓜龴𠆢亼令
𤫳	厶口瓜台
𤫴	丿二人瓜夫失
𤫵	丿十口瓜千
𤫶	口士瓜吉
𤫷	朿瓜
𤫸	㇉一一大瓜丂亏夸
𤫹	亠人八瓜六
𤫺	丿瓜糸系
𤫻	止瓜𣥂步
𤫼	丨丷丿弓瓜弔弟𢎨
𤫽	瓜見
𤫾	⺌⺼瓜肖
𤫿	人八干瓜余
𤬀	人八干瓜余
𤬁	日木瓜果
𤬂	⺊一又小瓜上叔尗
𤬃	口瓜立咅
𤬄	㇉一一丷大瓜丂亏𡗜𡘆
𤬅	瓜長
𤬆	日曰瓜昌
𤬇	爫瓜糸
𤬈	一亻瓜矢侯
𤬉	一大瓜癶天癸
𤬊	一丨丨冂户瓜卄扁𠕁
𤬋	冂冂口瓜𠃍冎咼
𤬌	彑瓜𧰨彖
𤬍	瓜缶䍃
𤬎	冖巾瓜帶
𤬏	女瓜婁
𤬐	冖火火瓜炏𤇾
𤬑	瓜瓜瓜㼌
𤬒	人囗瓜皿囚𥁕
𤬓	一丷瓜䒑兼
𤬔	瓜缶䍃
𤬕	口氏瓜
𤬖	丿瓜糸系
𤬗	一冖士瓜壺
𤬘	瓜虍豆䖒
𤬙	冂冂口木瓜𠃍冎咼楇
𤬚	一丷广瓜䒑兼廉
𤬛	瓜田皿虍盧𧆨
𤬜	瓜田皿虍盧𧆨
𤬝	瓜虍鬲鬳
𤬞	一井亠口口瓜𧘇吅襄𠀎
𤬟	⺕㐅丿囗火瓜囟龱𦥑
𤬠	卝口口瓜隹吅雈雚
𤬡	⺕㐅一丿囗火瓜囟龱𤐫𦥑
𤬢	⺕㇉㐅一一丿囗大瓜丂亏囟夸瓠龱𦥑
𤬣	㇉㐅一一丿囗大瓜丂亏囟夸瓠龱
𤬤	彑瓜虫虫𧰨䖵彖蠡
𤬥	亠口口日瓜羽衣吅
𤬦	冖瓦
𤬧	十瓦
𤬨	丶几瓦凡
𤬩	弋瓦
𤬪	土瓦
𤬫	⺄十瓦卂
𤬬	火瓦
𤬭	一瓦不
𤬮	一幺瓦𢆰
𤬯	一瓦𠆢亼今
𤬰	一瓦𠆢亼今
𤬱	丿丿勹瓦勿
𤬲	人冂瓦内
𤬳	几工瓦
𤬴	㠯瓦
𤬵	一氏瓦氐
𤬶	瓦用
𤬷	凵屮瓦出
𤬸	瓦生
𤬹	丿戈瓦戊
𤬺	央瓦
𤬻	一瓦龴𠆢亼令
𤬼	凵屮瓦出
𤬽	儿宀瓦宂
𤬾	几木瓦朵
𤬿	土土瓦圭
𤭀	儿冖刀瓦㓁
𤭁	一冂口瓦同𠔼
𤭂	瓦舟
𤭃	瓦而
𤭄	冂王瓦
𤭅	一丷廾瓦并开
𤭆	一冂口瓦同𠔼
𤭇	瓦舌
𤭈	儿瓦兆
𤭉	亠巛瓦𠃊亡
𤭊	工氵瓦江
𤭋	囗干瓦
𤭌	丨丷丿弓瓦弔弟𢎨
𤭍	八瓦白㒵
𤭎	止瓦武
𤭏	瓦谷
𤭐	母瓦𠂉每
𤭑	一口瓦𫝀五吾
𤭒	丶瓦艮良
𤭓	一巛工瓦巠
𤭔	瓦車
𤭕	一厶瓦㐬𠫓
𤭖	瓦镸
𤭗	乚瓦耳耴
𤭘	丿瓦臣
𤭙	一口瓦𠆢亼今含
𤭚	口瓦告
𤭛	一丷冂山瓦䒑岡
𤭜	丿勹瓦禾𥝢
𤭝	八土土瓦圥坴
𤭞	亠口子瓦享
𤭟	瓦阜
𤭠	又瓦臣臤
𤭡	又瓦耳取
𤭢	亠人人十瓦从卒
𤭣	八瓦其
𤭤	乚子爫瓦乳孚
𤭥	⺊口扌瓦占拈
𤭦	八瓦其
𤭧	比瓦白皆
𤭨	⺼工瓦𠂇左
𤭩	厶士瓦𠃜声
𤭪	木瓦目相
𤭫	瓦革
𤭬	工瓦缶缸
𤭭	亻口木瓦保呆
𤭮	瓦重
𤭯	水瓦白泉
𤭰	火瓦禾秌
𤭱	⺼十口瓦古胡
𤭲	丶丶又瓦目㕚叉𥄗
𤭳	囗幺幺瓦𢆶
𤭴	世木瓦枼
𤭵	瓦音
𤭶	⺼丿乀凵勹瓦乂凶匈
𤭷	一刂月瓦𠆢亼俞刖
𤭸	一丷尸廾瓦屏并开
𤭹	央瓦皿盎
𤭺	一止瓦罒正罡
𤭻	一一亅亅口口瓦丁丁可可哥
𤭼	二冂瓦羽冃𦐇
𤭽	凵屮瓦示出祟
𤭾	王瓦西
𤭿	丶丶又瓦耳㕚叉
𤮀	幺幺瓦艹茲𢆶
𤮁	火瓦而
𤮂	⺕丨口广瓦唐肀
𤮃	央瓦皿盎
𤮄	瓦鬲
𤮅	丶九八土土瓦丸圥坴埶
𤮆	瓦虍虛
𤮇	广瓦庸
𤮈	殳瓦車軗
𤮉	瓦田糸累
𤮊	广瓦隶康
𤮋	一口囗戈瓦國或
𤮌	女扌瓦立妾接
𤮍	寸瓦專
𤮎	厶厶厶瓦糸厽絫
𤮏	瓦黃
𤮐	丷寸瓦酉尊酋
𤮑	心瓦非悲
𤮒	女尸瓦米娄
𤮓	八斤瓦其斯
𤮔	囗土弓瓦㢴𡍯
𤮕	丷八巾攵瓦㡀敝
𤮖	井匚厶瓦
𤮗	口口夂止瓦各路𧾷
𤮘	瓦豆豋
𤮙	瓦虍豆䖒
𤮚	瓦田雨雷
𤮛	凵殳瓦車𣪠𨊥
𤮜	一亠口囗日瓦㐭亶回旦
𤮝	瓦虍角
𤮞	山瓦鬼嵬
𤮟	土瓦鬼塊
𤮠	一冂瓦艹豕冡蒙𠔼
𤮡	央瓦穴艹
𤮢	一卌广灬瓦𠂉廡無
𤮣	⺼瓦田虍胃膚
𤮤	匕央瓦穴北
𤮥	匸口口口欠瓦區吅品歐
𤮦	二厶日瓦雨云曇雲
𤮧	瓦田皿虍盧𧆨
𤮨	瓦龍
𤮩	亠人人口干日瓦亯从
𤮪	儿冖匕廾火瓦㼱北灷
𤮫	爫瓦缶缶
𤮬	止止爫瓦𦈢𦈢
𤮭	⺈⺈丶口比瓦㲋免兔毚𠮥
𤮮	口口口瓦雨霝
𤮯	山瓦臼隹崔
𤮰	儿冂口山瓦隹冏崔巂𦉪
𤮱	瓦耳耳耳聑聶
𤮲	巛瓦邑隹邕雝
𤮳	卝口口瓦隹吅雈雚
𤮴	卝口口瓦隹吅雈雚
𤮵	十大瓦而豆㼲壴耎
𤮶	火火火瓦言爕
𤮷	丣瓦田雨畱
𤮸	口口口瓦田雨霝
𤮹	人人口口口工瓦雨从巫霝靈
𤮺	𤮺
𤮻	干甘
𤮼	弋甘
𤮽	干甘
𤮾	一儿甘兀
𤮿	一儿甘兀
𤯀	干甘
𤯁	氏甘
𤯂	犬甘
𤯃	木甘
𤯄	氏甘
𤯅	一止甘正
𤯆	甘言
𤯇	火火甘炎
𤯈	日甘耂者
𤯉	八匸甘匹甚
𤯊	人木甘艹茶
𤯋	广廿灬甘庶
𤯌	甘麻
𤯍	厂甘禾禾厤秝
𤯎	广甘禾禾秝
𤯏	一小木甘甘某
𤯐	⺈甘臼門臽閻
𤯑	亠八匸口囗甘禾㐭匹回甚稟
𤯒	士殳甘黍𠃜声殸
𤯓	一
𤯔	一生
𤯕	女生
𤯖	乀生乆
𤯗	大生
𤯘	斗生
𤯙	支生
𤯚	一生不
𤯛	攵生
𤯜	力力生
𤯝	月生
𤯞	丹生
𤯟	母生
𤯠	囗大生因
𤯡	朿生
𤯢	厶厶厶生厽
𤯣	生自
𤯤	一口生𠆢亼合
𤯥	口女生如
𤯦	刀生衤初
𤯧	一儿冂囗四囧𤯓
𤯨	廾王生弄
𤯩	廾王生弄
𤯪	丿生禾𠄎乃秀
𤯫	我生
𤯬	儿冂囗生四囧
𤯭	一一丷生䒑业並
𤯮	儿生虍虎
𤯯	厶口女生台始
𤯰	一广氏生底氐
𤯱	一亅口大生丁可奇
𤯲	㐄夂生阝夅降
𤯳	一人冂攴生㪅丙内
𤯴	生豸𡿨
𤯵	冖火火生炏𤇾
𤯶	〢一八生
𤯷	冖爫生舛舜
𤯸	⺼力生𥫗筋肋
𤯹	一丷土生𧰨䒑𦍌
𤯺	力廿生勤堇
𤯻	一冂生艹豕冡蒙𠔼
𤯼	一冂生豕冡𠔼
𤯽	一人冂弓攴生㪅丙内弗𤯳
𤯾	一冂生艹豕冡蒙𠔼
𤯿	一厂广文氏生底氐產
𤰀	一匚火火舛䑞炎𤯓
𤰁	⺕一一八生与與舉𦥑
𤰂	一井亠口口生𧘇吅襄𠀎
𤰃	𤰃
𤰄	刀用
𤰅	夂用
𤰆	⺊一上
𤰇	一一丨丨丿用卄龷
𤰈	勹卝用
𤰉	用足
𤰊	女用覀要
𤰋	广申庸
𤰌	用用用
𤰍	一一丨丨丶丷八巾㡀卄甫龷
𤰎	亠口子广享庸
𤰏	丿乚亻用用艹龴龴化甬甬花𠤎
𤰐	一丶爾甫
𤰑	一一一丨丨丶几厶口月用凡卄龷𠫓
𤰒	丷人
𤰓	一田
𤰔	一由
𤰕	巜田
𤰖	又田
𤰗	田𠂉
𤰘	卜田
𤰙	九田
𤰚	九田
𤰛	力田
𤰜	厶田
𤰝	巛田
𤰞	十甲
𤰟	干田
𤰠	干田
𤰡	亠田𠃊亡
𤰢	乙田𠂉乞
𤰣	一匚由
𤰤	于田
𤰥	寸田
𤰦	丿乚田七乇
𤰧	夕田
𤰨	尸田
𤰩	乛亅田龴予
𤰪	八刀田分
𤰫	一屮田㞢
𤰬	丿小田少
𤰭	戈田
𤰮	大田𠃍夬
𤰯	儿又田
𤰰	爪由
𤰱	一一丨丨田
𤰲	丿爪田甶
𤰳	一大田天
𤰴	一由
𤰵	一人田𠃊亾
𤰶	日申
𤰷	巴申
𤰸	一厶田𠫓
𤰹	火田
𤰺	一田不
𤰻	一一丨丨田卄龷
𤰼	牛田
𤰽	片田
𤰾	月田
𤰿	丿丿勹田勿
𤱀	父田
𤱁	二人由夫
𤱂	二厶田云
𤱃	木田
𤱄	水田
𤱅	人冂田内
𤱆	冂又田𠕀
𤱇	父田
𤱈	亠卜田亩
𤱉	大由𠃍夬
𤱊	厶厶田厸
𤱋	二冂甲冄
𤱌	且田
𤱍	田皮
𤱎	力幺田幼
𤱏	小田𠂉尓
𤱐	田疋
𤱑	乀十田乆
𤱒	八土田圥
𤱓	申申
𤱔	丿亠厶田么亩
𤱕	民田
𤱖	⺄一丿田甶
𤱗	田立
𤱘	乙力田𠂉乞男
𤱙	本田
𤱚	⺕田
𤱛	田禾
𤱜	田禾
𤱝	人工田
𤱞	夂田冬
𤱟	凵屮田出
𤱠	刀口田召
𤱡	也田龴
𤱢	亻弋甲代
𤱣	冉甲
𤱤	一亅宀由丁宁
𤱥	田臣
𤱦	儿火田灮
𤱧	丿木田𠄎乃朶
𤱨	一一丨丨八田共卄龷
𤱩	儿田兆
𤱪	田
𤱫	人由
𤱬	勹日田旬
𤱭	人文田
𤱮	丿丿田甶
𤱯	⺈㔾厂田危厃
𤱰	田𠂆𠂢
𤱱	十戈田𢦏
𤱲	也土田地
𤱳	儿田光
𤱴	一乍田
𤱵	丷二人田夫龹
𤱶	亠犬田亩
𤱷	力力力田劦
𤱸	厶水田
𤱹	一亅巛田丁甾
𤱺	一一丨丨八田共卄龷
𤱻	田𦣞
𤱼	田辰
𤱽	二人巛田夫甾
𤱾	大巛田𠃍夬甾
𤱿	一冖十田丌畀
𤲀	㇉一由由丂
𤲁	八厶山田
𤲂	一人卜田下介界
𤲃	田𠦒
𤲄	丿乑田甶
𤲅	一一丨丨乚八日共卄电龷
𤲆	田辰
𤲇	一口口田吕
𤲈	⺈田免
𤲉	大日田
𤲊	田足
𤲋	八厶夂田公
𤲌	廾王田弄
𤲍	人人大甲从夾
𤲎	丿大小田夭
𤲏	九田穴究
𤲐	一一丨丨田𠄌卄龷
𤲑	一亅宀巛田丁宁甾
𤲒	丿丿干干田幵幷
𤲓	人人木田从來
𤲔	亻士寸田侍寺
𤲕	一一丨丨冂田𠆢亼侖卄𠕁
𤲖	一大田天忝
𤲗	又田臣臤
𤲘	田長
𤲙	厶大巛田甾
𤲚	東田
𤲛	人厶厶厶田厽
𤲜	丷土干田幸𢆉
𤲝	人人木田从來
𤲞	人田米畨
𤲟	田青
𤲠	亠人人十田从卒
𤲡	一口田𧘇𠮛
𤲢	二田亞
𤲣	由疌
𤲤	⺊十日田卓早
𤲥	𤲥
𤲦	一田由丌畁
𤲧	攵牜田牧
𤲨	㔾丷二人田卷夫龹
𤲩	火火田炎
𤲪	八土夊田圥夌
𤲫	一又爫田𠂇友爰
𤲬	大田而耎
𤲭	木田田
𤲮	工工弓田𢏚
𤲯	一田
𤲰	二冂甲目冃冒
𤲱	一田艹
