㐀	一卝
㖿	口耳阝耶
㗀	口山幺幺幽𢆶
㗁	㇉一一口口口丂亏吅咢
㗂	丿口小目少省
㗃	口日民昬
㗄	口方罒
㗅	⺼十口口古胡
㗆	口革
㗇	又口叚
㗈	力口用龴勇甬
㗉	丨刀口夂彡㓞丯各
㗊	口口口口吅吅
㗋	⺈厂口矢矦
㗌	口宀至室
㗍	口香
㗎	力口口木加架
㗏	一一口止不正歪
㗐	丶口大皿太盇
㗑	一一丨二口手三丰拜
㗒	口口衣哀
㗓	㠯丿口辶追𠂤
㗔	口文虍虔
㗕	一井冉口冓𠀎
㗖	口爫臼舀
㗗	丿十口甲卑𠮠
㗘	丶口寸尃甫
㗙	勹口屮芻
㗚	口木覀栗
㗛	丿口大𥫗夭笑
㗜	口玄田畜
㗝	一丷口土灬䒑羔𦍌
㗞	口皮石破
㗟	丶乚口氵王七主叱注
㗠	乚厶口口女七台叱始
㗡	丿乚亻口艹𠄎七乃仍叱
㗢	力口重動
㗣	冖口巾帶
㗤	⺊一丿口小戈上尗戊戚
㗥	亠口口子阝享郭
㗦	丿卩口耳卯聊
㗧	口穴至窒
㗨	匸口殳矢医殹
㗩	口白羽習
㗪	匕口止糸此紫
㗫	口示祭
㗬	⺌冂口夕夕冋多尚
㗭	口心釆悉
㗮	口夕广名庚
㗯	乚口日耂七叱者
㗰	人人口彳龰从從
㗱	口木隹集
㗲	一口田畫
㗳	一口口𠆢𥫗亼合答
㗴	口月門閒
㗵	口欠火火欻炎
㗶	口弓殳癶癹發
㗷	一井口宀贝𠀎
㗸	口缶行䘖
㗹	口心隹𢛧
㗺	一口大非䨿天
㗻	冂冂口口辶𠃍冎咼過
㗼	一一丷口未䒑业業
㗽	丶乡口阝郎鄉
㗾	丿乚亻口革化靴𠤎
㗿	一亅口口門丁可閜
㘀	口米臼䊆
㘁	丷口土干罒幸睪𢆉
㘂	一丷口幺幺心䒑兹慈𢆶
㘃	口口心艹𠂇右惹若
㘄	口方木罒楞
㘅	口行金銜
㘆	冖口口士至吉臺
㘇	冖口木火火榮炏𤇾
㘈	匕口疋矢龴疑𠤕
㘉	卩口𥫗即節
㘊	口言雨霅
㘋	又口臣貝臤賢
㘌	刂口虍豕劇豦
㘍	口小戈隹雀𢧵
㘎	一丨口攵耳门丅敢阚
㘏	乚口辶首七叱道
㘐	亠口父馬交駮
㘑	口士示隶隷
㘒	乚口禾重七叱種
㘓	丷口束門柬闌
㘔	一井八口宀貝賽𠀎𡨄
㘕	一人口皿臣艹監臥藍
㘖	厂口彡文頁彥顏
㘗	口目目隹䀠瞿
㘘	口糸糹言䜌絲
㘙	一丨厂口口口攵耳丅吅嚴敢𠪚
㘚	一丨口攵耳門丅敢闞
㘛	一口口龍𠆢亼合龕
㘜	口言隹隹讎雔
㘝	又囗
㘞	力囗
㘟	囗廾
㘠	丿囗心必
㘡	囗甲
㘢	儿囗光
㘣	⺼口囗肙
㘤	一囗氵淵𣶒
㘥	丿囗糸缶䍃系繇
㘦	力土
㘧	乛亅土龴予
㘨	入冂土內
㘩	土比
㘪	土毛
㘫	井土
㘬	勹厶土勾
㘭	土幺𠃌幻
㘮	乀土尸尺
㘯	力土𠂉
㘰	土斗
㘱	冉土
㘲	九土尸尻
㘳	匕土北
㘴	人口土㕥
㘵	土巾𠂇布
㘶	土舛
㘷	丿乀土艹乂艾
㘸	匕土歹死
㘹	匕土止此
㘺	亻土戈伐
㘻	囗土大因
㘼	㇉一土耂丂考
㘽	十土戈𢦏
㘾	于土宀宇
㘿	土土日圼
㙀	九土穴究
㙁	土母𠂉每
㙂	儿八口土㕣兌
㙃	丘八土兵
㙄	土土比坒
㙅	口土木呆
㙆	厶土宀𠂇厷宏
㙇	丶土豕豖
㙈	儿土虍虎
㙉	八土典
㙊	土長
㙋	八土其
㙌	⺕丨八土肀肃
㙍	又又又又土叕
㙎	一丿土女戈威戊戌
㙏	土夊日𠂉复
㙐	土山而耑
㙑	土禹
㙒	乛亅土田龴予𤰩
㙓	土土土土垚
㙔	土韋
㙕	⺼土田胃
㙖	土禹
㙗	一土田𠄌畏
㙘	土女覀要
㙙	丶土尢彡氵尤尨浝
㙚	一丷土土牛䒑𦍌
㙛	丶土寸尃甫
㙜	土高
㙝	⺼力力力土劦脅
㙞	土木自臬
㙟	丶土月朗
㙠	匸土殳矢医殹
㙡	人人土彳龰从從
㙢	入入土廿㒳㒼𠓜
㙣	土弓長張
㙤	乎土虍虖
㙥	八口土衣㕣袞
㙦	人八土干斗余斜
㙧	丣土田畱
㙨	人土幺幺戈幾𢆶
㙩	丷土大小日尞昚𡗜
㙪	冖土士豆壹
㙫	土木隹集
㙬	人人土木犬从來猌
㙭	一丷厂土屮欠䒑厥屰欮
㙮	一口土𠆢𥫗亼合答
㙯	丶九二八厶土土丸云圥坴埶
㙰	刀土牛角解
㙱	㇉一儿口土虍丂号虎號
㙲	乡亠土隹雍
㙳	一丿口土心戈咸感戊戌
㙴	⺈八厂土言厃詹
㙵	土土高㙜
㙶	⺌亠冂口口土冋堂尚
㙷	土幺幺日灬㬎𢆶𢇁
㙸	一一丷二人亻土䒑业僕夫菐
㙹	冖卝土夕罒夢
㙺	一丨匚口土貝中匱貴
㙻	八土土广里廛
㙼	土田田田畾
㙽	一一土大白白奭百百皕
㙾	⺕冖土子爻學𦥑𦥯
㙿	一丷土土䒑羲𦍌
㚀	土戈虍豆䖒戲
㚁	一一儿儿土土土土土土兀兀垚垚堯堯
㚂	一井冖口口土𧘇吅囊𠀎
㚃	一丷丿乀冖凵士䒑乂凶
㚄	冖士田疋
㚅	一夂生𤯔
㚆	亠夂日𣅀
㚇	丿乀儿凵夊乂兇凶
㚈	十夕
㚉	丿夕夕𠄎乃多
㚊	亠人夕夕𠂈亥多
㚋	冂口土夕夕周多
㚌	夕夕日木多果
㚍	一丨口夕夕貝中多貴
㚎	凵大
㚏	大廾
㚐	大大
㚑	⺕大
㚒	入入大𠓜
㚓	大木
㚔	丷大干𢆉
㚕	大弓弗
㚖	大白
㚗	且大
㚘	二二人人夫夫
㚙	力口大加
㚚	口夕大名
㚛	匕大日旨
㚜	一口大戈或
㚝	亻土土大佳圭
㚞	大木木林
㚟	⺈口大比㲋𠮥
㚠	一丷土大灬䒑羔𦍌
㚡	一一亅亅口口大大丁丁可可奇奇
㚢	亻女
㚣	女女
㚤	女弋
㚥	于女
㚦	一女丌
㚧	女广
㚨	⺄十女卂
㚩	二冂女冄
㚪	女毛
㚫	及女
㚬	二勹女勻
㚭	丶女尢尤
㚮	冖几女冗
㚯	女风
㚰	一一女不丕
㚱	丘女
㚲	⺊口女占
㚳	力口女加
㚴	女巾𠂇布
㚵	夂女冬
㚶	㠯女
㚷	人女小尒
㚸	一口女𠃌司
㚹	丿卩女卯
㚺	丿女子𠄎乃孕
㚻	女田
㚼	女田
㚽	㇉一女工丂巧
㚾	儿口女兄
㚿	勹女巳包
㛀	⺈⺕女刍
㛁	丷女干平
㛂	女巴𠂆𠂬
㛃	丨刀女彡㓞丯
㛄	女衣
㛅	女耳
㛆	丿女木𠄎乃朶
㛇	土女广庄
㛈	㇉一女耂丂考
㛉	女西
㛊	几女木朵
㛋	人女𠇍
㛌	厶女牛牟
㛍	人人大女从夾
㛎	丿口口女呂
㛏	丶女求
㛐	一女更
㛑	又女歺𣦼
㛒	女豆
㛓	丿乀女巾𠂇乂布希
㛔	一丨二夂女三丰夆
㛕	女邑
㛖	儿厶夊女允夋
㛗	人人土女从坐
㛘	冖十女子孛
㛙	女辛
㛚	女用龴甬
㛛	女身
㛜	丨亻女攵攸
㛝	女貝
㛞	女廾王弄
㛟	冂大女𠂊奂
㛠	女日门间
㛡	二儿女宀元完
㛢	丿女禾𠄎乃秀
㛣	口女贝员
㛤	一丶丶冂冂女丽
㛥	女日水沓
㛦	女木木林
㛧	女山石岩
㛨	一丷儿土女䒑羌𦍌
㛩	⺼一厶女育𠫓
㛪	乚大女日奄电
㛫	丿丿勹女日勿易
㛬	八土土女圥坴
㛭	一一丨丨女日卄昔龷
㛮	又女宀火叜灾
㛯	⺈力女免勉
㛰	女日民昬
㛱	一女田𠄌畏
㛲	女頁
㛳	丷亠冖女巾帝
㛴	㐅丿囗女巛囟龱𡿺
㛵	冉女爫爯
㛶	厂女山火屵炭
㛷	丶女尢禾尤
㛸	十女豆壴
㛹	一亻女便更
㛺	女音
㛻	土土大女圭奎
㛼	女干臼臿
㛽	女宀米宩
㛾	一丿口女戈咸戊戌
㛿	冖女巾带
㜀	女木目相
㜁	一女日木旦查
㜂	土土女寸圭封
㜃	亻女言信
㜄	女風
㜅	女玄田畜
㜆	女米辶迷
㜇	土土女心圭恚
㜈	力女攵矛務敄
㜉	女巛邑邕
㜊	一一丨丨女尸𠄌卄展龷
㜋	女皿益
㜌	一冖士女殳𣪊
㜍	⺕丨口女广唐肀
㜎	大女幺爫奚
㜏	口女貝員
㜐	女山豆豈
㜑	丶女氵浦甫
㜒	女廾臼舁
㜓	一口女艹𠆢亼合荅
㜔	儿口女立兄竞
㜕	女車辶連
㜖	女曰曹
㜗	厶厶厶女彡𠆢㐱厽參
㜘	且女虍虘
㜙	女鹿
㜚	一亻女宀白佰宿百
㜛	女欠車軟
㜜	士女攵方放敖
㜝	一女酉𠆢亼今酓
㜞	女斤車斬
㜟	一丨女攵耳丅敢
㜠	女山隹崔
㜡	人人女彳龰从從
㜢	女女婁
㜣	⺼女灬犬然肰
㜤	十女日覀早覃
㜥	女罒貝買
㜦	⺕口女寸工尋
㜧	一丷厂女屮欠䒑厥屰欮
㜨	女尸牛犀
㜩	丿冂大女釆奧
㜪	女斤木立亲新
㜫	一儿女山彳攵兀微𡵉𣁋
㜬	⺈八厂女言厃詹
㜭	⺌冂口女田冋尚當
㜮	一人女皿臣監臥
