a00065-002	𡬱
a00065-003	𢂋
a00065-004	𦣿
a00065-005	
a00065-007	
a00065-008	
a00065-009	
a00066	亭
a00066-001	𠅘
a00066-002	
a00067	亮
a00067-001	𠅙
a00067-002	
a00067-003	
a00067-004	
a00067-005	
a00067-006	
a00068	人
a00068-001	𠔽
a00068-002	𤯔
a00068-005-1	几
a00068-006-1	
a00068-007	
a00069	仁
a00069-001	忈
a00069-002	忎
a00069-003	𡰥
a00069-004	
a00069-005	
a00069-006	
a00069-007	
a00069-008	
a00070	什
a00071	仃
a00072	仆
a00073	仇
a00073-001	
a00073-002	
a00074	仍
a00074-001	
a00074-002	
a00074-003	
a00074-004	
a00074-005	
a00074-006	
a00074-007	
a00075	今
a00075-001	
a00075-002	
a00075-003	
a00075-004	
a00076	介
a00076-001	𡗟
a00076-002	
a00076-003	
a00076-004	
a00076-006	
a00076-007	𣎴
a00076-008	
a00076-009	
a00077	仄
a00077-001	𠨮
a00077-002	𤴩
a00077-003	
a00077-004	𥎦
a00077-004-1	𠨻
a00077-005	
a00077-006	
a00077-007	
a00077-008	
a00077-009	
a00077-010	
a00077-011	𠩩
a00077-013-1	
a00077-014	
a00077-015	庂
a00078	以
a00078-001	𠙋
a00078-002	㠯
a00078-003	㕥
a00078-004	
a00078-005	叱
a00078-005-1	
a00078-008	
a00078-009	
a00078-010	
a00078-011	
a00078-012	
a00079	付
a00079-001	仅
a00080	仔
a00081	仕
a00081-001	
a00081-002	𠇾
a00081-003	
a00082	他
a00082-001	佗
a00083	仗
a00083-002	
a00083-003	
a00084	代
a00084-001	
a00085	令
a00085-001	
a00085-002	
a00085-003	
a00085-004	
a00085-005	
a00085-007	
a00086	仙
a00086-002	
a00086-003	𠏡
a00086-004-1	僊
a00086-007	
a00086-008	
a00086-009-1	仚
a00086-009-4	
a00086-009-5	
a00086-009-6	佡
a00086-017	
a00086-018	
a00086-023	
a00086-027-1	屳
a00087	仞
a00087-001	
a00087-002	
a00088	仿
a00088-001	㑂
a00088-004	𩬝
a00088-004-1	㧍
a00088-004-2	倣
a00089	伉
a00089-001	
a00089-002-1	
a00089-003	
a00089-004	
a00089-006	
a00090	伙
a00091	伊
a00091-001	𠈽
a00091-002	𠜰
a00091-003	𦯴
a00091-004	𡭕
a00091-005	
a00091-006	
a00091-006-1	
a00091-007	
a00091-008	
a00091-009	
a00091-010	
a00091-011	
a00091-012	
a00092	伕
a00093	伍
a00093-001	
a00094	伐
a00094-001	牫
a00095	休
a00095-001	𠇲
a00095-002	𠇾
a00095-004	咻
a00095-005	
a00095-006	
a00095-007	
a00095-008	
a00095-009	烋
a00095-010	
a00095-011	
a00095-012	
a00095-013	
a00095-014	
a00095-016	
a00095-017	
a00096	伏
a00096-001	㐲
a00096-002	
a00096-003	
a00096-003-1	𥦸
a00096-004	
a00096-005	
a00096-006	
a00096-007	
a00096-008	𥧜
a00096-009	
a00097	仲
a00097-001	
a00097-002	
a00097-003	
a00098	件
a00099	任
a00099-001	𢓩
a00099-002	
a00099-003	
a00100	仰
a00100-004	
a00100-007	
a00100-009	𢓋
a00100-010	
a00100-011	
a00100-012	
a00100-015	
a00100-016	
