H1.1556	停
H1.1561	傞
H1.1561-H1.1562	偏
H1.1572-H1.1573	假
H1.1583	偓
H1.1583-H1.1584	偉
H1.1586	𠊩
H1.1586	㑱
H1.1586-H1.1587	傘
H1.1587	禽
H1.1589	傣
H1.1589	傲
H1.1591	傋
H1.1591	𠋸
H1.1592	備
H1.1597	傎
H1.1597	僆
H1.1597-H1.1598	傅
H1.1600	傈
H1.1600	傉
H1.1600	偨
H1.1600	䖺
H1.1600	翛
H1.1601	絛
H1.1601	𠌫
H1.1601	傝
H1.1601	𠌤
H1.1602	傖
H1.1603	傜
H1.1604	傒
H1.1604	傑
H1.1606	㑳
H1.1606	傚
H1.1607	𠌯
H1.1607	傍
H1.1610	傔
H1.1611	傢
H1.1611	傛
H1.1611	㑴
H1.1611	㑷
H1.1612	僉
H1.1613	債
H1.1614	僅
H1.1615-H1.1616	傳
H1.1629-H1.1630	傮
H1.1630	傴
H1.1630	僄
H1.1631	僀
H1.1631	僂
H1.1632	僈
H1.1632	㒁
H1.1632	傫
H1.1632	催
H1.1634-H1.1635	傷
H1.1641-H1.1642	傻
H1.1643	傯
H1.1643	傱
H1.1643	僁
H1.1643	僋
H1.1643-H1.1644	傾
H1.1654	像
H1.1656	傭
H1.1658	傽
H1.1658	㑻
H1.1658	僇
H1.1659	傪
H1.1659	僰
H1.1659	㒃
H1.1659	𠍴
H1.1660	僥
H1.1660	僨
H1.1661	僛
H1.1661-H1.1662	儆
H1.1663	𠍶
H1.1663	僚
H1.1664-H1.1665	僭
H1.1668	僕
H1.1671	僓
H1.1671	僑
H1.1673	儁
H1.1674	僬
H1.1675	僠
H1.1675	僞
H1.1679	僢
H1.1679	僦
H1.1680-H1.1681	僮
H1.1682	僔
H1.1682	僧
H1.1686	僒
H1.1686	僱
H1.1686	僩
H1.1686-H1.1687	僝
H1.1687	僎
H1.1687	㒍
H1.1687	僪
H1.1688	儎
H1.1688	𠏄
H1.1688	儚
H1.1688	𠐁
H1.1688	僸
H1.1688	僵
H1.1690	價
H1.1691	鞗
H1.1691	僶
H1.1691	儂
H1.1692	儇
H1.1692	㒔
H1.1693	𠏙
H1.1693	儌
H1.1693	儉
H1.1696	儈
H1.1696	僾
H1.1696	儋
H1.1697	儃
H1.1697	億
H1.1699-H1.1700	儀
H1.1707	僿
H1.1707	僻
H1.1710	儓
H1.1710	儔
H1.1711	儖
H1.1711	儒
H1.1716	儑
H1.1716	儛
H1.1717	儗
H1.1717	儕
H1.1718	儐
H1.1718	儜
H1.1719	侭
H1.1720	㒊
H1.1720	儥
H1.1720-H1.1721	優
H1.1732	儢
H1.1732	鯈
H1.1732	償
H1.1733	儤
H1.1733	𠐍
H1.1733	儡
H1.1733	𠐋
H1.1733-H1.1734	儲
H1.1737	儦
H1.1737	儠
H1.1737	𠐺
H1.1737	儵
H1.1738	儱
H1.1738	儳
H1.1739	儴
H1.1739	𠑗
H1.1739-H1.1740	儺
H1.1740	儷
H1.1741	儼
H1.1742	儸
H1.1742	儹
H1.1742	儻
H1.1743	𠑩
H1.1743	儽
H1.1743	㒩
H1.1744	儾
H2.0001	八
H2.0024	兮
H2.0024	六
H2.0055-H2.0056	公
H2.0080	并
H2.0082-H2.0083	共
H2.0088	弚
H2.0088-H2.0089	兵
H2.0099-H2.0100	弟
H2.0101-H2.0102	其
H2.0103-H2.0104	並
H2.0107-H2.0108	具
H2.0112	典
H2.0120	前
H9.0398-H2.0138	茲
H2.0139	真
H2.0153-H2.0154	兼
H2.0159	𡇷
H2.0159-H2.0160	與
H2.0162-H2.0163	冀
H2.0163-H2.0164	興
H2.0170-H2.0171	勺
H2.0171	勿
H2.0173	勼
H2.0173	勻
H2.0174	勾
H2.0180	匆
H2.0181	匄
H2.0181-H2.0182	包
H2.0188	匈
H2.0188	匉
H2.0188	匌
H2.0188	匍
H2.0189	芻
H2.0190	匒
H2.0190	匐
H2.0190	㔩
H2.0191	匑
H2.0191	匕
H2.0191	北
H2.0206	鬯
H2.0206	匙
H2.0207	元
H2.0219	允
H2.0222	兄
H2.0223-H2.0224	光
H2.0235-H2.0236	先
H2.0248	兇
H2.0251-H2.0252	兆
H2.0254	充
H2.0260	克
H2.0265	兕
H2.0265-H2.0266	免
H2.0269	兑
H2.0270	兒
H2.0273	兔
H2.0276-H2.0277	党
H2.0277	兜
H2.0280	兟
H2.0280	兢
H2.0281	几
H2.0282	𠘧
H2.0282-H2.0283	凡
H2.0290	凮
H2.0290	凭
H2.0291	𠙆
H2.0291	凰
H2.0291	凱
H2.0292	焭
H2.0293	凳
H2.0293	亡
H2.0300	亢
H2.0302-H2.0303	玄
H2.0326	亦
H2.0327-H2.0328	交
H2.0347	亥
H2.0348	亨
H2.0349	京
H2.0354	享
H2.0356	夜
H2.0363-H2.0364	亭
H2.0367	亮
H2.0369	玅
H2.0369	亳
H2.0369-H2.0370	玆
H2.0370	商
H2.0377	玈
H2.0377-H2.0379	率
H2.0385	亶
H2.0385-H2.0386	雍
H2.0388	亹
H2.0389	𠖱
H2.0389	冱
H2.0389	冰
H2.0401-H2.0402	冷
H2.0411	冶
H2.0413	冽
H2.0414	𠗂
H2.0414	𠗌
H2.0414	凌
H2.0420-H2.0421	凍
H2.0423	凄
H2.0426-H2.0427	准
H2.0428	凋
H2.0432	凓
H2.0432	㓖
H2.0432	凗
H2.0433-H2.0432	凜
H2.0433-H2.0434	凝
H2.0441	冘
H2.0441-H2.0442	冠
H2.0446-H2.0447	冢
H2.0448	冥
H2.0457	冤
H2.0461	冪
H2.0462	凶
H2.0471	凷
H2.0471	凸
H2.0471	凹
H2.0472-H2.0474	出
H2.0506	凼
H2.0506	函
H2.0511	凾
H2.0511	卬
H2.0512	卭
H2.0512	卮
H2.0512-H2.0513	印
H2.0519	卯
H2.0520	危
H2.0527-H2.0528	卵
H2.0529	即
H2.0532-H2.0533	卹
H2.0533-H2.0534	卷
H2.0539	卺
H2.0539	卸
H2.0540-H2.0541	卻
H2.0544-H2.0545	卿
H2.0546	厀
H2.0546-H2.0547	刀
H2.0553	刁
H2.0556	刃
H2.0556-H2.0557	切
H2.0564-H2.0565	分
H2.0591	刈
H2.0591-H2.0592	刊
H2.0594	刌
H2.0594	刉
H2.0595	争
H2.0602-H2.0603	刑
H2.0608	刓
H2.0609-H2.0610	列
H2.0615	划
H2.0616	刖
H2.0616	刎
H2.0616	刔
H2.0617	初
H2.0623	㓠
H2.0623-H2.0624	别
H2.0634-H2.0635	利
H2.0641	刢
H2.0641	𠛎
H2.0641	删
H2.0644	刨
H2.0644-H2.0645	判
H2.0647	𠛡
H2.0647	刜
H2.0648	券
H2.0648	刲
H2.0649-H2.0650	刺
H2.0657	㓦
H2.0657-H2.0658	刳
H2.0659	到
H2.0661-H2.0662	制
H2.0667-H2.0668	刮
H2.0671	刹
H2.0672	剁
H2.0672-H2.0673	刻
H2.0679-H2.0680	刷
H2.0682	荊
H2.0687-H2.0688	剋
H2.0690	剌
H2.0691	剄
H2.0691-H2.0692	削
H2.0695-H2.0697	則
H2.0698	剉
H2.0698	剃
H2.0699	剚
H2.0699	剞
H2.0700	剗
H2.0702	剕
H2.0702	剔
H2.0703-H2.0704	剛
H2.0709	剮
H2.0709	𠜱
H2.0709	剠
H2.0709	剖
H2.0712	剡
H2.0713	剜
H2.0714	剥
H2.0717	剟
H2.0717-H2.0718	剪
H2.0720	剨
H2.0721	𠝝
H2.0721	副
H2.0724	剬
H2.0724	㓲
H2.0725	剴
H2.0725	㓻
H2.0725	剩
H2.0726	㓷
H2.0726	𠞞
H2.0726	創
H2.0731-H2.0732	割
H2.0735	剺
H2.0735	蒯
H2.0736	剸
H2.0737	剾
H2.0737	剽
H2.0739	剷
H2.0740	剹
H2.0740	剿
H2.0741	箚
H2.0741	劁
H2.0741	𠟃
H2.0741-H2.0742	劃
H2.0743	劀
H2.0743	劈
H2.0746	劌
H2.0746-H2.0747	劇
H2.0750	劍
H2.0753	劊
H2.0753	劉
H2.0756	劆
H2.0756	劓
H2.0756	劑
H2.0757	毚
H2.0757-H2.0758	劖
H2.0758	𠠫
H2.0758	劗
H2.0758	劘
H2.0759	劚
H2.0759	劙
H2.0759-H2.0760	釁
H2.0761-H2.0762	力
H2.0765-H2.0766	功
H2.0772	加
H2.0777	劣
H2.0778	劫
H2.0782-H2.0783	助
H2.0785	劬
H2.0785	努
H2.0786	劭
H2.0786	劻
H2.0786	劼
H2.0786	劾
H2.0787	勀
H2.0787	勃
H2.0788-H2.0789	勁
H2.0791	勉
H2.0792	勇
H2.0794	勑
H2.0795	勍
H2.0795	勌
H2.0795	勘
H2.0796-H2.0797	勒
H2.0798	勔
H2.0798-H2.0799	勖
H2.0799	動
H2.0805	募
H2.0806	勞
H2.0813	勢
H2.0816-H2.0817	勤
H2.0821	勠
H2.0821	勦
H2.0822	勩
H2.0822	勵
H2.0823	勳
H2.0825	勸
H2.0829	勷
H2.0829	厶
H2.0829-H2.0830	云
H2.0831-H2.0832	厹
H2.0832	去
H2.0835	丢
H2.0838	厽
H2.0838-H2.0839	參
H2.0851	又
H2.0852	叉
H2.0853	友
H2.0855-H2.0856	反
H2.0870	𠬢
H2.0871-H2.0872	取
H2.0879	叔
H2.0880-H2.0881	受
H2.0888	㕟
H2.0888	叟
H2.0889	叛
H2.0890	叚
H2.0890	叡
H2.0890-H2.0891	燮
H2.0891	叢
H2.0895	廷
H2.0897-H2.0898	延
H2.0905	建
H2.0911-H2.0912	干
H2.0918	午
H2.0921	平
H2.0946	幵
H2.0946-H2.0947	幹
H2.0951-H2.0952	工
H2.0959	左
H2.0967	巧
H2.0971	巫
H2.0973-H2.0974	差
H2.0979-H2.0980	土
H2.0999	士
H2.1004-H2.1005	壬
H2.1005	圢
H2.1005	圩
H2.1006	圬
H2.1006	圭
H2.1008-H2.1009	在
H2.1014	圪
H2.1015	圮
H2.1016	圯
H2.1016-H2.1017	地
H2.1038	坏
H2.1039	㘪
H2.1039	圻
H2.1039	坂
H2.1039-H2.1040	坐
H2.1055	坌
H2.1056	坎
H2.1058	坍
H2.1059	均
H2.1062	坑
H2.1063-H2.1064	坊
H2.1065-H2.1066	壯
H2.1071	㘭
H2.1071-H2.1072	坩
H2.1072	坷
H2.1072	坯
H2.1073	坪
H2.1073	坦
H2.1075	坤
H2.1076	坱
H2.1077	坰
H2.1077	垂
H2.1086	坵
H2.1086	坿
H2.1086-H2.1087	坼
H2.1087	坻
H2.1087	垃
H2.1087-H2.1088	幸
H2.1091	坨
H2.1092	坲
H2.1092	坡
H2.1092	坶
H2.1092-H2.1093	坳
H2.1093	型
H2.1093	垣
H2.1094	垮
H2.1094	城
H2.1099	垤
H2.1099	垡
H2.1100	埏
H2.1100	垢
H2.1101-H2.1102	垛
H2.1102	垝
H2.1102	垓
H2.1103	垠
H2.1103	𡋯
H2.1103	埔
H2.1103-H2.1104	埋
H2.1106	埍
H2.1106	袁
H2.1107	埒
H2.1107-H2.1108	埆
H2.1108	垸
H2.1108	堲
H2.1108	埃
H2.1109	埲
H2.1109	堵
H2.1110	埡
H2.1110	堊
H2.1110-H2.1111	基
H2.1113	堇
H2.1113	埴
H2.1113-H2.1114	域
H2.1114	堅
H2.1119	𡍋
H2.1119-H2.1120	堂
H2.1127	埵
H2.1127	堆
H2.1128	埤
H2.1129	埠
H2.1129	堋
H2.1129	堍
H2.1129	埳
H2.1129-H2.1130	埻
H2.1130	培
H2.1131	𡌧
H2.1131	執
H2.1141	埢
H2.1141	埭
H2.1141	埽
H2.1142	堀
H2.1143	尭
H2.1143-H2.1144	堪
H2.1144	堞
H2.1144-H2.1145	塔
H2.1146	堰
H2.1146	堛
H2.1146	堙
H2.1147	堤
H2.1148	場
H2.1150	堣
H2.1150	㙗
H2.1151	塄
H2.1151	𡍪
H2.1151	堡
H2.1151-H2.1152	塊
H2.1153	堠
H2.1153	塠
H2.1153	𡎬
H2.1153-H2.1154	報
H2.1161	壹
H2.1162-H2.1163	壺
H2.1165	塈
H2.1165	堳
H4.0393-H2.1165	婿
H2.1165	堥
H2.1165-H2.1166	墓
H2.1167-H2.1168	填
H2.1172	塒
H2.1172	塌
H2.1173	塏
H2.1173	堽
H2.1173	塕
H2.1174	塢
H2.1174	塙
H2.1174	𡎲
H2.1174	塉
H2.1174	塘
H2.1175	塝
H2.1175	塑
H2.1175	塋
H2.1176	塗
H2.1179-H2.1180	塞
H2.1184	壼
H2.1184-H2.1185	塚
H2.1185	塓
H2.1185	墊
H2.1187	墐
H2.1187	塹
H2.1187-H2.1188	塼
H2.1188	塸
H2.1188	墆
H2.1188	塽
H2.1188	墟
H2.1189-H2.1190	墅
H2.1190	塾
H2.1190	塺
H2.1190	墉
H2.1191	塵
H2.1199	境
H2.1200	墒
H2.1200	墚
H2.1200-H2.1201	壽
H2.1206	墮
H2.1209	墜
H2.1211	墋
H2.1211	墝
H2.1211	墳
H2.1214	㙪
H2.1214-H2.1215	墨
H2.1221	墦
H2.1221	墩
H2.1221	墫
H2.1222	增
H2.1224	墱
H2.1224	墢
H2.1224	㙳
